time,gyrx,gyry,gyrz,rol,pit,yaw,accx,accy,accz,vCmds
0.738,0.367,-3.890,-2.423,-0.035,-0.039,-0.052,-0.073,-0.052,0.097,0.000,
0.740,0.432,-4.181,-2.613,-0.034,-0.046,-0.057,-0.063,-0.040,0.090,0.000,
0.742,0.481,-4.433,-2.761,-0.033,-0.055,-0.062,-0.052,-0.030,0.082,0.000,
0.744,0.515,-4.658,-2.866,-0.032,-0.064,-0.068,-0.039,-0.022,0.077,0.000,
0.746,0.538,-4.868,-2.930,-0.031,-0.073,-0.074,-0.022,-0.014,0.076,0.000,
0.748,0.554,-5.074,-2.956,-0.030,-0.083,-0.079,0.000,-0.008,0.075,8.000,
0.750,0.565,-5.274,-2.955,-0.029,-0.093,-0.085,0.025,-0.004,0.072,0.000,
0.752,0.575,-5.461,-2.937,-0.028,-0.103,-0.091,0.051,-0.003,0.068,0.000,
0.754,0.589,-5.619,-2.916,-0.027,-0.114,-0.097,0.073,-0.001,0.065,0.000,
0.756,0.613,-5.736,-2.896,-0.025,-0.125,-0.103,0.090,0.002,0.067,4.000,
0.758,0.648,-5.807,-2.880,-0.024,-0.137,-0.109,0.102,0.003,0.073,0.000,
0.760,0.694,-5.838,-2.861,-0.023,-0.149,-0.114,0.114,0.001,0.080,0.000,
0.762,0.751,-5.835,-2.830,-0.021,-0.160,-0.120,0.126,-0.003,0.083,0.000,
0.764,0.818,-5.799,-2.786,-0.020,-0.172,-0.126,0.135,-0.007,0.086,0.000,
0.766,0.892,-5.727,-2.729,-0.018,-0.183,-0.131,0.141,-0.010,0.086,8.000,
0.768,0.966,-5.614,-2.665,-0.017,-0.195,-0.137,0.142,-0.011,0.079,0.000,
0.770,1.032,-5.459,-2.600,-0.015,-0.206,-0.142,0.138,-0.012,0.071,0.000,
0.772,1.080,-5.260,-2.541,-0.013,-0.217,-0.147,0.131,-0.014,0.062,0.000,
0.774,1.106,-5.023,-2.492,-0.010,-0.228,-0.153,0.120,-0.017,0.055,0.000,
0.776,1.108,-4.767,-2.452,-0.008,-0.238,-0.158,0.105,-0.020,0.050,0.000,
0.778,1.088,-4.511,-2.422,-0.006,-0.247,-0.162,0.090,-0.024,0.044,0.000,
0.780,1.054,-4.274,-2.400,-0.004,-0.256,-0.167,0.074,-0.027,0.035,0.000,
0.782,1.017,-4.070,-2.384,-0.002,-0.265,-0.172,0.058,-0.027,0.022,0.000,
0.784,0.984,-3.907,-2.374,0.000,-0.273,-0.177,0.045,-0.024,0.010,8.000,
0.786,0.955,-3.783,-2.367,0.002,-0.281,-0.182,0.034,-0.022,-0.000,0.000,
0.788,0.924,-3.691,-2.358,0.004,-0.288,-0.186,0.026,-0.023,-0.009,0.000,
0.790,0.882,-3.620,-2.344,0.006,-0.296,-0.191,0.018,-0.025,-0.015,0.000,
0.792,0.828,-3.563,-2.320,0.008,-0.303,-0.196,0.010,-0.029,-0.020,4.000,
0.794,0.768,-3.516,-2.282,0.010,-0.310,-0.200,0.002,-0.033,-0.024,0.000,
0.796,0.710,-3.481,-2.232,0.011,-0.317,-0.205,-0.005,-0.036,-0.027,0.000,
0.798,0.661,-3.458,-2.173,0.012,-0.324,-0.209,-0.008,-0.039,-0.024,0.000,
0.800,0.626,-3.444,-2.115,0.014,-0.331,-0.214,-0.010,-0.042,-0.018,0.000,
0.802,0.602,-3.436,-2.059,0.015,-0.338,-0.218,-0.011,-0.046,-0.010,0.000,
0.804,0.583,-3.431,-2.004,0.016,-0.345,-0.222,-0.013,-0.052,0.000,0.000,
0.806,0.564,-3.430,-1.952,0.017,-0.352,-0.226,-0.016,-0.057,0.010,0.000,
0.808,0.543,-3.433,-1.908,0.019,-0.358,-0.230,-0.020,-0.061,0.020,8.000,
0.810,0.522,-3.445,-1.878,0.020,-0.365,-0.234,-0.026,-0.063,0.029,0.000,
0.812,0.506,-3.468,-1.858,0.021,-0.372,-0.238,-0.031,-0.065,0.034,0.000,
0.814,0.502,-3.506,-1.845,0.022,-0.379,-0.241,-0.035,-0.068,0.036,0.000,
0.816,0.515,-3.557,-1.836,0.023,-0.386,-0.245,-0.038,-0.069,0.036,0.000,
0.818,0.544,-3.621,-1.829,0.024,-0.393,-0.249,-0.041,-0.067,0.033,0.000,
0.820,0.586,-3.698,-1.818,0.025,-0.400,-0.252,-0.043,-0.063,0.029,0.000,
0.822,0.633,-3.783,-1.803,0.026,-0.408,-0.256,-0.043,-0.059,0.025,0.000,
0.824,0.677,-3.867,-1.784,0.027,-0.415,-0.260,-0.042,-0.056,0.022,0.000,
0.826,0.715,-3.942,-1.759,0.029,-0.423,-0.263,-0.041,-0.054,0.024,0.000,
0.828,0.746,-4.009,-1.723,0.030,-0.431,-0.267,-0.043,-0.054,0.028,0.000,
0.830,0.770,-4.079,-1.675,0.032,-0.439,-0.270,-0.048,-0.058,0.032,0.000,
0.832,0.787,-4.163,-1.619,0.033,-0.447,-0.273,-0.054,-0.062,0.036,0.000,
0.834,0.804,-4.280,-1.562,0.035,-0.456,-0.277,-0.060,-0.066,0.040,8.000,
0.836,0.831,-4.455,-1.513,0.036,-0.464,-0.280,-0.067,-0.069,0.046,0.000,
0.838,0.879,-4.699,-1.476,0.038,-0.473,-0.283,-0.074,-0.073,0.052,4.000,
0.840,0.952,-5.013,-1.457,0.040,-0.482,-0.286,-0.079,-0.079,0.060,0.000,
0.842,1.050,-5.384,-1.460,0.042,-0.492,-0.289,-0.081,-0.086,0.069,0.000,
0.844,1.176,-5.795,-1.493,0.044,-0.503,-0.292,-0.082,-0.091,0.079,0.000,
0.846,1.332,-6.234,-1.559,0.046,-0.515,-0.295,-0.084,-0.090,0.088,0.000,
0.848,1.523,-6.699,-1.652,0.049,-0.527,-0.298,-0.085,-0.083,0.099,0.000,
0.850,1.743,-7.185,-1.764,0.052,-0.541,-0.301,-0.085,-0.073,0.112,0.000,
0.852,1.980,-7.672,-1.885,0.055,-0.555,-0.305,-0.082,-0.064,0.123,8.000,
0.854,2.214,-8.124,-2.008,0.059,-0.570,-0.308,-0.075,-0.055,0.129,0.000,
0.856,2.424,-8.510,-2.120,0.064,-0.587,-0.312,-0.061,-0.048,0.133,0.000,
0.858,2.593,-8.818,-2.219,0.068,-0.604,-0.317,-0.048,-0.046,0.139,0.000,
0.860,2.716,-9.044,-2.304,0.074,-0.621,-0.321,-0.046,-0.044,0.149,0.000,
0.862,2.801,-9.199,-2.380,0.079,-0.639,-0.326,-0.058,-0.039,0.155,0.000,
0.864,2.865,-9.305,-2.447,0.085,-0.658,-0.330,-0.079,-0.030,0.155,8.000,
0.866,2.929,-9.398,-2.498,0.090,-0.676,-0.335,-0.103,-0.021,0.147,0.000,
0.868,3.006,-9.514,-2.527,0.096,-0.695,-0.340,-0.129,-0.009,0.134,0.000,
0.870,3.093,-9.678,-2.531,0.102,-0.714,-0.345,-0.157,0.001,0.120,0.000,
0.872,3.170,-9.905,-2.511,0.108,-0.734,-0.350,-0.189,0.006,0.105,8.000,
0.874,3.222,-10.199,-2.476,0.115,-0.753,-0.355,-0.219,0.007,0.090,0.000,
0.876,3.243,-10.555,-2.435,0.121,-0.774,-0.360,-0.245,0.005,0.079,0.000,
0.878,3.240,-10.965,-2.399,0.128,-0.795,-0.365,-0.270,0.002,0.074,0.000,
0.880,3.227,-11.424,-2.380,0.134,-0.817,-0.370,-0.293,-0.007,0.071,0.000,
0.882,3.223,-11.929,-2.386,0.141,-0.840,-0.375,-0.317,-0.023,0.069,12.000,
0.884,3.243,-12.489,-2.419,0.147,-0.863,-0.380,-0.346,-0.045,0.067,0.000,
0.886,3.303,-13.129,-2.474,0.154,-0.888,-0.384,-0.386,-0.069,0.065,0.000,
0.888,3.427,-13.896,-2.540,0.160,-0.915,-0.389,-0.426,-0.085,0.066,0.000,
0.890,3.636,-14.858,-2.603,0.167,-0.943,-0.394,-0.444,-0.086,0.081,8.000,
0.892,3.933,-16.055,-2.651,0.174,-0.972,-0.400,-0.443,-0.075,0.113,0.000,
0.894,4.295,-17.461,-2.680,0.182,-1.004,-0.405,-0.431,-0.062,0.146,0.000,
0.896,4.687,-18.989,-2.702,0.191,-1.039,-0.410,-0.409,-0.049,0.167,8.000,
0.898,5.070,-20.524,-2.742,0.200,-1.077,-0.416,-0.372,-0.034,0.176,0.000,
0.900,5.399,-21.948,-2.818,0.210,-1.118,-0.421,-0.329,-0.021,0.182,0.000,
0.902,5.628,-23.158,-2.930,0.221,-1.162,-0.427,-0.293,-0.016,0.188,8.000,
0.904,5.728,-24.087,-3.070,0.232,-1.208,-0.433,-0.269,-0.017,0.191,0.000,
0.906,5.705,-24.716,-3.219,0.244,-1.257,-0.439,-0.255,-0.022,0.189,8.000,
0.908,5.594,-25.070,-3.351,0.255,-1.306,-0.445,-0.251,-0.031,0.184,0.000,
0.910,5.445,-25.206,-3.444,0.266,-1.356,-0.452,-0.258,-0.041,0.176,8.000,
0.912,5.300,-25.201,-3.491,0.277,-1.407,-0.459,-0.278,-0.052,0.162,8.000,
0.914,5.184,-25.137,-3.501,0.288,-1.457,-0.466,-0.309,-0.064,0.145,4.000,
0.916,5.108,-25.084,-3.493,0.298,-1.507,-0.473,-0.346,-0.074,0.126,8.000,
0.918,5.069,-25.096,-3.482,0.308,-1.557,-0.480,-0.390,-0.081,0.111,0.000,
0.920,5.059,-25.211,-3.478,0.319,-1.608,-0.487,-0.436,-0.084,0.099,8.000,
0.922,5.058,-25.450,-3.483,0.329,-1.658,-0.494,-0.482,-0.084,0.087,0.000,
