time,gyrx,gyry,gyrz,rol,pit,yaw,accx,accy,accz,vCmds
0.131,-0.777,16484.709,-0.026,-0.040,8519263744.000,0.003,-0.025,-0.027,0.122,2.000,
0.135,-0.763,10165.266,-0.044,-0.042,8519263744.000,0.003,-0.028,-0.033,0.126,2.000,
0.137,-0.736,2900.901,-0.074,-0.043,8519263744.000,0.003,-0.029,-0.038,0.129,2.000,
0.139,-0.697,-1985.291,-0.105,-0.045,8519263744.000,0.003,-0.027,-0.041,0.130,2.000,
0.141,-0.652,-3719.219,-0.134,-0.046,8519263744.000,0.003,-0.023,-0.041,0.126,2.000,
0.143,-0.604,-3145.283,-0.161,-0.048,8519263744.000,0.003,-0.018,-0.040,0.120,2.000,
0.146,-0.555,-1608.693,-0.180,-0.049,8519263744.000,0.002,-0.011,-0.036,0.111,2.000,
0.147,-0.510,-182.138,-0.194,-0.050,8519263744.000,0.002,-0.005,-0.033,0.101,2.000,
0.149,-0.471,625.145,-0.204,-0.051,8519263744.000,0.002,0.001,-0.031,0.090,2.000,
0.151,-0.442,795.032,-0.212,-0.052,8519263744.000,0.001,0.006,-0.030,0.078,2.000,
0.153,-0.424,569.565,-0.218,-0.053,8519263744.000,0.001,0.010,-0.031,0.065,2.000,
0.155,-0.413,229.356,-0.219,-0.054,8519263744.000,0.000,0.013,-0.033,0.049,2.000,
0.160,-0.405,-35.780,-0.211,-0.054,8519263744.000,-0.000,0.013,-0.035,0.029,2.000,
0.162,-0.397,-157.653,-0.200,-0.055,8519263744.000,-0.001,0.011,-0.037,-0.002,2.000,
0.164,-0.399,-157.648,-0.190,-0.056,8519263744.000,-0.001,0.008,-0.038,-0.036,2.000,
0.166,-0.411,-94.854,-0.183,-0.057,8519263744.000,-0.001,0.005,-0.038,-0.065,2.000,
0.168,-0.428,-24.484,-0.179,-0.058,8519263744.000,-0.002,0.004,-0.036,-0.087,2.000,
0.170,-0.445,22.022,-0.180,-0.059,8519263744.000,-0.002,0.004,-0.033,-0.105,2.000,
0.172,-0.464,37.870,-0.186,-0.059,8519263744.000,-0.002,0.007,-0.029,-0.120,2.000,
0.174,-0.488,31.642,-0.196,-0.060,8519263744.000,-0.003,0.011,-0.025,-0.134,2.000,
0.176,-0.514,16.457,-0.199,-0.061,8519263744.000,-0.003,0.014,-0.022,-0.146,2.000,
0.178,-0.537,2.602,-0.193,-0.062,8519263744.000,-0.004,0.015,-0.020,-0.154,2.000,
0.180,-0.551,-5.155,-0.185,-0.063,8519263744.000,-0.004,0.016,-0.021,-0.159,2.000,
0.182,-0.553,-6.767,-0.176,-0.065,8519263744.000,-0.004,0.015,-0.022,-0.161,2.000,
0.187,-0.542,-4.633,-0.170,-0.066,8519263744.000,-0.005,0.015,-0.023,-0.161,2.000,
0.189,-0.493,-1.556,-0.169,-0.067,8519263744.000,-0.005,0.012,-0.022,-0.154,2.000,
0.191,-0.418,0.735,-0.167,-0.068,8519263744.000,-0.005,0.010,-0.021,-0.143,2.000,
0.193,-0.325,1.661,-0.159,-0.069,8519263744.000,-0.006,0.010,-0.019,-0.132,2.000,
0.195,-0.221,1.464,-0.137,-0.069,8519263744.000,-0.006,0.012,-0.018,-0.121,2.000,
0.197,-0.108,0.715,-0.107,-0.070,8519263744.000,-0.006,0.017,-0.019,-0.111,2.000,
0.199,0.007,-0.066,-0.077,-0.070,8519263744.000,-0.007,0.023,-0.019,-0.102,2.000,
0.201,0.122,-0.590,-0.051,-0.070,8519263744.000,-0.007,0.027,-0.019,-0.094,2.000,
0.203,0.238,-0.803,-0.027,-0.070,8519263744.000,-0.007,0.028,-0.017,-0.086,2.000,
0.205,0.355,-0.789,-0.004,-0.069,8519263744.000,-0.007,0.026,-0.015,-0.077,2.000,
0.207,0.468,-0.676,0.019,-0.068,8519263744.000,-0.007,0.022,-0.012,-0.068,2.000,
0.209,0.574,-0.567,0.043,-0.068,8519263744.000,-0.007,0.016,-0.008,-0.056,2.000,
0.213,0.670,-0.511,0.068,-0.066,8519263744.000,-0.007,0.011,-0.005,-0.043,2.000,
0.215,0.791,-0.532,0.100,-0.065,8519263744.000,-0.007,0.005,-0.002,-0.025,2.000,
0.217,0.905,-0.596,0.127,-0.063,8519263744.000,-0.006,0.001,0.001,-0.008,2.000,
0.219,0.997,-0.671,0.137,-0.062,8519263744.000,-0.006,-0.001,0.002,0.002,2.000,
0.221,1.067,-0.739,0.127,-0.060,8519263744.000,-0.006,-0.002,0.003,0.006,2.000,
0.223,1.116,-0.797,0.109,-0.057,8519263744.000,-0.006,-0.002,0.004,0.007,2.000,
0.225,1.151,-0.843,0.095,-0.055,8519263744.000,-0.005,-0.001,0.005,0.007,2.000,
0.227,1.175,-0.877,0.092,-0.053,8519263744.000,-0.005,0.001,0.005,0.007,2.000,
0.229,1.188,-0.902,0.098,-0.051,8519263744.000,-0.005,0.004,0.006,0.008,2.000,
0.231,1.191,-0.924,0.110,-0.048,8519263744.000,-0.005,0.007,0.007,0.010,2.000,
0.233,1.181,-0.949,0.123,-0.046,8519263744.000,-0.005,0.009,0.006,0.013,2.000,
0.238,1.156,-0.974,0.133,-0.043,8519263744.000,-0.004,0.010,0.005,0.017,2.000,
0.240,1.084,-1.002,0.133,-0.041,8519263744.000,-0.004,0.010,0.001,0.024,2.000,
0.242,0.989,-1.015,0.120,-0.039,8519263744.000,-0.004,0.009,-0.002,0.030,2.000,
0.244,0.890,-1.003,0.097,-0.037,8519263744.000,-0.004,0.008,-0.003,0.036,2.000,
0.246,0.795,-0.969,0.064,-0.035,8519263744.000,-0.003,0.008,-0.001,0.041,2.000,
0.248,0.705,-0.920,0.029,-0.034,8519263744.000,-0.003,0.009,0.002,0.045,2.000,
0.250,0.614,-0.863,-0.001,-0.032,8519263744.000,-0.003,0.010,0.005,0.049,2.000,
0.252,0.517,-0.803,-0.019,-0.031,8519263744.000,-0.003,0.011,0.008,0.053,2.000,
0.254,0.412,-0.741,-0.024,-0.030,8519263744.000,-0.003,0.013,0.010,0.058,2.000,
