0.000,1.208,0.148,-9.556,0.000,0.000,0.000,0.055,0.018,-0.217,0.000,
0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.004,0.075,-0.008,-0.067,0.000,0.000,0.000,0.006,-0.019,-0.012,0.000,
0.006,0.159,-0.042,-0.147,0.000,-0.000,-0.000,0.013,-0.045,-0.029,0.000,
0.008,0.216,-0.073,-0.203,0.000,-0.000,-0.000,0.020,-0.070,-0.046,0.000,
0.010,0.239,-0.079,-0.221,0.001,-0.000,-0.001,0.027,-0.087,-0.056,0.000,
0.012,0.249,-0.035,-0.195,0.001,-0.000,-0.001,0.031,-0.095,-0.050,0.000,
0.014,0.253,0.039,-0.147,0.002,-0.000,-0.002,0.032,-0.096,-0.028,0.000,
0.016,0.255,0.134,-0.080,0.002,-0.000,-0.002,0.032,-0.094,-0.001,0.000,
0.018,0.252,0.214,-0.015,0.003,-0.000,-0.002,0.034,-0.089,0.021,0.000,
0.020,0.230,0.275,0.052,0.003,0.000,-0.002,0.033,-0.084,0.033,0.000,
0.022,0.197,0.310,0.107,0.004,0.001,-0.002,0.028,-0.078,0.031,0.000,
0.117,0.156,0.322,0.161,0.004,0.001,-0.002,0.019,-0.073,0.019,0.000,
0.119,0.142,0.298,0.059,0.005,0.002,-0.002,-0.013,-0.030,0.010,3.000,
0.121,0.164,0.265,-0.087,0.005,0.003,-0.001,-0.045,0.021,0.007,0.000,
0.123,0.185,0.235,-0.210,0.005,0.003,-0.002,-0.064,0.063,0.007,0.000,
0.125,0.188,0.221,-0.282,0.006,0.004,-0.002,-0.066,0.086,0.004,4.000,
0.127,0.172,0.221,-0.309,0.006,0.004,-0.003,-0.056,0.091,-0.002,0.000,
0.129,0.145,0.231,-0.319,0.006,0.005,-0.003,-0.036,0.077,-0.020,0.000,
0.131,0.125,0.255,-0.324,0.007,0.005,-0.004,-0.016,0.050,-0.044,0.000,
0.133,0.122,0.287,-0.325,0.007,0.006,-0.004,0.000,0.019,-0.068,0.000,
0.135,0.134,0.321,-0.322,0.007,0.006,-0.005,0.012,-0.006,-0.088,0.000,
0.137,0.156,0.349,-0.315,0.007,0.007,-0.006,0.018,-0.020,-0.100,0.000,
0.139,0.181,0.372,-0.305,0.008,0.007,-0.006,0.016,-0.025,-0.108,0.000,
0.232,0.196,0.386,-0.294,0.008,0.008,-0.007,0.007,-0.024,-0.112,0.000,
0.234,0.251,0.290,-0.308,0.008,0.009,-0.008,-0.014,-0.016,-0.053,0.000,
0.236,0.310,0.163,-0.315,0.009,0.010,-0.008,-0.035,-0.008,0.014,0.000,
0.238,0.354,0.021,-0.293,0.010,0.010,-0.009,-0.043,-0.002,0.054,0.000,
0.240,0.373,-0.093,-0.254,0.010,0.010,-0.009,-0.036,0.002,0.059,0.000,
0.242,0.371,-0.161,-0.196,0.011,0.010,-0.010,-0.019,0.005,0.042,0.000,
0.244,0.359,-0.176,-0.141,0.012,0.009,-0.010,0.001,0.009,0.019,8.000,
0.246,0.347,-0.155,-0.099,0.012,0.009,-0.011,0.009,0.012,-0.002,0.000,
0.248,0.346,-0.104,-0.060,0.013,0.009,-0.011,0.002,0.014,-0.017,0.000,
0.250,0.357,-0.038,-0.023,0.014,0.009,-0.011,-0.020,0.014,-0.028,0.000,
0.252,0.379,0.056,0.021,0.015,0.008,-0.011,-0.048,0.012,-0.037,0.000,
0.319,0.396,0.150,0.057,0.015,0.009,-0.011,-0.076,0.013,-0.045,0.000,
0.321,0.066,-0.020,0.084,0.016,0.009,-0.011,-0.059,0.011,-0.006,0.000,
