time,gyrx,gyry,gyrz,rol,pit,yaw,accx,accy,accz,vCmds
0.750,0.362,-2.878,0.297,0.065,-0.164,0.042,0.020,0.018,-0.087,0.000,
0.752,0.369,-2.848,0.309,0.066,-0.169,0.042,0.020,0.013,-0.070,0.000,
0.754,0.366,-2.778,0.322,0.067,-0.175,0.043,0.020,0.009,-0.055,0.000,
0.756,0.356,-2.676,0.335,0.067,-0.181,0.044,0.022,0.006,-0.040,0.000,
0.758,0.343,-2.551,0.348,0.068,-0.186,0.044,0.025,0.004,-0.023,0.000,
0.760,0.335,-2.414,0.363,0.069,-0.191,0.045,0.031,-0.000,0.005,0.000,
0.762,0.336,-2.246,0.384,0.070,-0.196,0.046,0.036,-0.003,0.025,8.000,
0.764,0.344,-2.075,0.406,0.070,-0.200,0.046,0.041,-0.005,0.033,0.000,
0.766,0.353,-1.919,0.427,0.071,-0.205,0.047,0.046,-0.004,0.042,0.000,
0.768,0.357,-1.780,0.442,0.072,-0.208,0.048,0.049,-0.002,0.052,0.000,
0.770,0.353,-1.651,0.443,0.072,-0.212,0.049,0.049,-0.002,0.061,0.000,
0.772,0.342,-1.522,0.431,0.073,-0.215,0.050,0.047,-0.001,0.068,0.000,
0.774,0.325,-1.394,0.409,0.074,-0.218,0.051,0.043,0.002,0.073,0.000,
0.776,0.301,-1.273,0.374,0.074,-0.221,0.052,0.038,0.005,0.076,0.000,
0.778,0.268,-1.165,0.329,0.075,-0.224,0.052,0.034,0.009,0.078,0.000,
0.780,0.229,-1.073,0.276,0.075,-0.226,0.053,0.030,0.013,0.080,0.000,
0.782,0.181,-0.995,0.220,0.076,-0.228,0.054,0.025,0.016,0.083,0.000,
0.784,0.125,-0.929,0.163,0.076,-0.230,0.054,0.022,0.016,0.087,0.000,
0.786,0.059,-0.867,0.104,0.077,-0.232,0.054,0.019,0.016,0.090,0.000,
0.788,-0.016,-0.806,0.039,0.077,-0.234,0.055,0.017,0.013,0.093,0.000,
0.790,-0.094,-0.745,-0.028,0.077,-0.235,0.055,0.016,0.009,0.099,0.000,
0.792,-0.171,-0.680,-0.091,0.076,-0.237,0.055,0.016,0.004,0.104,0.000,
0.794,-0.244,-0.609,-0.149,0.076,-0.238,0.054,0.017,-0.001,0.108,4.000,
0.796,-0.309,-0.532,-0.199,0.076,-0.239,0.054,0.019,-0.007,0.114,0.000,
0.798,-0.361,-0.451,-0.236,0.075,-0.241,0.054,0.022,-0.013,0.121,0.000,
0.800,-0.398,-0.370,-0.258,0.074,-0.241,0.053,0.026,-0.017,0.125,0.000,
0.802,-0.421,-0.294,-0.269,0.073,-0.242,0.053,0.028,-0.023,0.127,0.000,
0.804,-0.431,-0.220,-0.273,0.073,-0.243,0.052,0.028,-0.029,0.127,0.000,
0.806,-0.435,-0.147,-0.267,0.072,-0.243,0.052,0.026,-0.035,0.128,0.000,
0.808,-0.431,-0.069,-0.247,0.071,-0.243,0.051,0.026,-0.038,0.131,0.000,
0.810,-0.417,0.014,-0.211,0.070,-0.244,0.051,0.026,-0.041,0.135,0.000,
0.812,-0.389,0.108,-0.162,0.069,-0.244,0.050,0.027,-0.042,0.139,0.000,
0.814,-0.353,0.216,-0.102,0.068,-0.243,0.050,0.029,-0.042,0.140,0.000,
0.816,-0.316,0.339,-0.036,0.068,-0.243,0.050,0.032,-0.039,0.141,0.000,
0.818,-0.286,0.470,0.028,0.067,-0.242,0.050,0.036,-0.035,0.142,0.000,
0.820,-0.263,0.602,0.084,0.067,-0.241,0.050,0.038,-0.029,0.140,0.000,
0.822,-0.246,0.728,0.129,0.066,-0.240,0.050,0.038,-0.022,0.133,0.000,
0.824,-0.238,0.844,0.166,0.065,-0.239,0.050,0.036,-0.016,0.123,0.000,
0.826,-0.242,0.947,0.197,0.065,-0.237,0.050,0.036,-0.011,0.112,0.000,
0.828,-0.252,1.034,0.216,0.065,-0.235,0.051,0.034,-0.007,0.100,0.000,
0.830,-0.264,1.109,0.221,0.064,-0.233,0.051,0.031,-0.005,0.086,0.000,
0.832,-0.272,1.176,0.205,0.064,-0.231,0.052,0.027,-0.001,0.071,0.000,
0.834,-0.274,1.237,0.169,0.063,-0.228,0.052,0.022,0.004,0.052,0.000,
0.836,-0.266,1.287,0.119,0.062,-0.226,0.052,0.017,0.009,0.029,0.000,
0.838,-0.245,1.327,0.066,0.062,-0.223,0.053,0.012,0.014,0.004,0.000,
0.840,-0.211,1.359,0.021,0.061,-0.221,0.053,0.008,0.018,-0.018,0.000,
0.842,-0.163,1.383,-0.012,0.061,-0.218,0.053,0.006,0.020,-0.038,0.000,
0.844,-0.104,1.403,-0.033,0.061,-0.215,0.053,0.007,0.021,-0.058,0.000,
0.846,-0.039,1.415,-0.042,0.060,-0.212,0.053,0.008,0.023,-0.080,0.000,
0.848,0.024,1.419,-0.044,0.060,-0.210,0.053,0.010,0.025,-0.098,0.000,
0.850,0.079,1.415,-0.039,0.060,-0.207,0.053,0.012,0.026,-0.110,0.000,
0.852,0.124,1.405,-0.027,0.061,-0.204,0.052,0.016,0.025,-0.117,0.000,
0.854,0.154,1.393,-0.008,0.061,-0.201,0.052,0.022,0.023,-0.120,0.000,
0.856,0.167,1.384,0.017,0.061,-0.198,0.052,0.029,0.024,-0.122,0.000,
0.858,0.158,1.385,0.045,0.061,-0.196,0.052,0.036,0.026,-0.126,0.000,
0.860,0.126,1.402,0.074,0.062,-0.193,0.053,0.042,0.027,-0.130,0.000,
0.862,0.080,1.433,0.101,0.062,-0.190,0.053,0.047,0.028,-0.132,0.000,
0.864,0.027,1.473,0.122,0.062,-0.187,0.053,0.050,0.026,-0.132,0.000,
0.866,-0.026,1.519,0.136,0.062,-0.184,0.053,0.053,0.025,-0.131,0.000,
0.868,-0.075,1.571,0.144,0.062,-0.181,0.053,0.055,0.025,-0.128,0.000,
0.870,-0.122,1.634,0.144,0.062,-0.178,0.054,0.057,0.025,-0.124,0.000,
0.872,-0.171,1.709,0.136,0.062,-0.175,0.054,0.058,0.024,-0.119,0.000,
0.874,-0.225,1.799,0.116,0.061,-0.171,0.054,0.059,0.022,-0.112,0.000,
0.876,-0.288,1.903,0.087,0.061,-0.168,0.054,0.062,0.021,-0.105,0.000,
0.878,-0.358,2.020,0.051,0.060,-0.164,0.055,0.065,0.020,-0.098,0.000,
0.880,-0.429,2.144,0.008,0.060,-0.160,0.055,0.067,0.019,-0.088,0.000,
0.882,-0.498,2.264,-0.040,0.059,-0.156,0.055,0.066,0.016,-0.073,0.000,
0.884,-0.562,2.369,-0.083,0.058,-0.151,0.055,0.063,0.014,-0.058,0.000,
0.886,-0.623,2.452,-0.116,0.057,-0.146,0.055,0.059,0.012,-0.045,0.000,
0.888,-0.682,2.509,-0.139,0.055,-0.141,0.054,0.054,0.008,-0.034,2.000,
0.890,-0.738,2.545,-0.153,0.054,-0.136,0.054,0.050,0.004,-0.022,0.000,
0.892,-0.788,2.570,-0.160,0.053,-0.131,0.054,0.047,0.000,-0.008,0.000,
0.894,-0.828,2.596,-0.161,0.051,-0.126,0.053,0.044,-0.004,0.004,0.000,
0.896,-0.855,2.628,-0.153,0.049,-0.121,0.053,0.043,-0.010,0.016,0.000,
0.898,-0.869,2.669,-0.139,0.048,-0.116,0.053,0.042,-0.014,0.028,0.000,
0.900,-0.869,2.715,-0.124,0.046,-0.110,0.052,0.043,-0.015,0.037,0.000,
0.902,-0.855,2.764,-0.117,0.044,-0.105,0.052,0.045,-0.013,0.046,0.000,
0.904,-0.829,2.808,-0.122,0.043,-0.099,0.052,0.046,-0.011,0.058,0.000,
0.906,-0.795,2.843,-0.137,0.041,-0.094,0.052,0.047,-0.010,0.070,0.000,
0.908,-0.758,2.866,-0.154,0.039,-0.088,0.051,0.048,-0.009,0.078,0.000,
0.910,-0.718,2.878,-0.173,0.038,-0.082,0.051,0.049,-0.006,0.081,0.000,
0.912,-0.675,2.884,-0.190,0.036,-0.077,0.051,0.050,-0.003,0.083,0.000,
0.914,-0.633,2.891,-0.205,0.035,-0.071,0.050,0.051,0.001,0.085,0.000,
0.916,-0.595,2.913,-0.218,0.034,-0.065,0.050,0.052,0.005,0.088,0.000,
