0.000,-0.037,-0.013,-0.023,0.000,0.000,0.000,-10.045,0.117,0.023,0.000,0.000,
0.007,11.423,2.995,-6.581,0.000,0.000,0.000,-16.984,-0.976,-2.188,0.000,0.000,
0.007,47.607,39.836,-55.561,0.023,0.006,-0.013,-33.693,4.590,-5.022,0.000,0.000,
0.009,80.685,72.810,-85.551,0.118,0.086,-0.124,-62.657,19.206,-5.642,0.000,0.000,
0.011,96.954,82.669,-84.111,0.279,0.231,-0.295,-89.577,33.543,-5.379,0.000,0.000,
0.013,91.156,64.056,-45.303,0.473,0.397,-0.464,-110.362,42.784,-6.500,0.000,0.000,
0.015,68.666,30.229,16.370,0.656,0.525,-0.554,-123.705,45.518,-9.505,0.000,0.000,
0.017,41.186,-1.020,75.378,0.793,0.585,-0.521,-129.373,42.757,-13.075,0.000,0.000,
0.019,18.348,-16.441,109.802,0.875,0.583,-0.371,-127.399,36.737,-15.442,0.000,0.000,
0.021,2.564,-14.450,110.922,0.912,0.550,-0.151,-117.896,29.655,-15.483,0.000,0.000,
0.023,-9.127,-6.166,85.904,0.917,0.521,0.071,-101.991,22.898,-13.255,6.000,0.000,
0.025,-19.304,-2.999,54.138,0.899,0.509,0.243,-82.126,16.859,-9.689,0.000,0.000,
0.027,-27.618,-5.425,33.287,0.860,0.503,0.351,-60.852,11.391,-5.952,1.000,0.000,
0.029,-33.180,-8.372,27.645,0.805,0.492,0.417,-39.988,6.416,-3.030,0.000,0.000,
0.031,-35.754,-8.440,33.118,0.739,0.475,0.473,-20.770,2.051,-1.442,1.000,0.000,
0.033,-35.521,-4.402,44.235,0.667,0.459,0.539,-3.782,-1.634,-0.924,0.000,0.000,
0.035,-33.145,3.398,56.085,0.596,0.450,0.627,10.863,-4.501,-0.888,1.000,0.000,
0.037,-29.429,12.895,65.018,0.530,0.457,0.740,22.432,-6.422,-0.878,1.000,0.000,
0.039,-24.896,22.758,69.612,0.471,0.482,0.870,29.772,-7.417,-0.678,1.000,0.000,
0.041,-20.007,32.721,71.165,0.421,0.528,1.009,32.605,-7.592,-0.378,1.000,0.000,
0.043,-15.548,40.785,71.742,0.381,0.593,1.151,31.950,-7.125,-0.118,3.000,0.000,
0.045,-12.025,45.502,72.473,0.350,0.675,1.295,29.260,-6.369,0.146,1.000,0.000,
0.047,-9.254,48.339,73.538,0.326,0.766,1.440,25.700,-5.550,0.399,3.000,0.000,
0.049,-6.896,50.828,74.778,0.308,0.863,1.587,21.922,-4.738,0.530,3.000,0.000,
0.051,-4.851,52.971,76.029,0.294,0.964,1.736,18.163,-3.964,0.523,1.000,0.000,
0.053,-3.147,54.588,77.155,0.284,1.070,1.888,14.630,-3.253,0.447,3.000,0.000,
0.055,-1.791,55.709,77.913,0.278,1.179,2.043,11.478,-2.598,0.371,3.000,0.000,
0.057,-0.728,56.412,78.104,0.274,1.291,2.198,8.670,-2.026,0.313,3.000,0.000,
0.059,0.055,56.841,77.929,0.273,1.404,2.355,6.178,-1.534,0.256,3.000,0.000,
0.061,0.553,56.910,77.717,0.273,1.517,2.510,4.044,-1.120,0.207,3.000,0.000,
0.063,0.827,56.680,77.521,0.274,1.631,2.666,2.294,-0.783,0.174,3.000,0.000,
0.065,0.971,56.419,77.287,0.276,1.744,2.821,0.911,-0.516,0.141,3.000,0.000,
0.067,1.021,56.095,77.066,0.278,1.857,2.976,-0.141,-0.316,0.096,3.000,0.000,
0.069,1.002,55.691,76.915,0.280,1.969,3.130,-0.887,-0.176,0.052,3.000,0.000,
0.071,0.958,55.314,76.760,0.282,2.081,3.283,-1.360,-0.091,0.011,3.000,0.000,
0.073,0.910,54.972,76.555,0.284,2.191,3.437,-1.637,-0.054,-0.025,3.000,0.000,
0.075,0.845,54.661,76.354,0.285,2.301,3.590,-1.771,-0.051,-0.054,3.000,0.000,
0.077,0.754,54.373,76.184,0.287,2.411,3.743,-1.791,-0.064,-0.067,3.000,0.000,
0.079,0.651,54.123,76.016,0.289,2.519,3.895,-1.738,-0.082,-0.066,3.000,0.000,
0.081,0.551,53.929,75.858,0.290,2.628,4.047,-1.641,-0.099,-0.058,3.000,0.000,
0.083,0.457,53.746,75.747,0.291,2.736,4.199,-1.513,-0.113,-0.045,3.000,0.000,
0.085,0.385,53.591,75.665,0.292,2.843,4.350,-1.365,-0.131,-0.029,3.000,0.000,
0.087,0.349,53.499,75.586,0.293,2.950,4.502,-1.211,-0.157,-0.017,3.000,0.000,
0.089,0.347,53.440,75.527,0.293,3.057,4.653,-1.064,-0.192,-0.012,3.000,0.000,
0.091,0.373,53.399,75.498,0.294,3.164,4.804,-0.925,-0.230,-0.012,3.000,0.000,
0.093,0.428,53.377,75.481,0.295,3.271,4.955,-0.796,-0.269,-0.017,3.000,0.000,
0.095,0.501,53.365,75.466,0.296,3.378,5.106,-0.686,-0.302,-0.025,3.000,0.000,
0.097,0.578,53.358,75.459,0.297,3.484,5.257,-0.593,-0.327,-0.034,3.000,0.000,
0.099,0.644,53.353,75.445,0.298,3.591,5.408,-0.516,-0.344,-0.040,3.000,0.000,
0.101,0.687,53.356,75.413,0.299,3.698,5.559,-0.460,-0.355,-0.040,3.000,0.000,
0.103,0.698,53.367,75.375,0.300,3.805,5.710,-0.425,-0.362,-0.035,19.000,0.000,
0.105,0.677,53.372,75.349,0.302,3.911,5.860,-0.408,-0.366,-0.027,19.000,0.000,
0.107,0.640,53.379,75.339,0.303,4.018,6.011,-0.400,-0.367,-0.019,19.000,0.000,
