0.000,-0.180,0.586,-0.216,9.740,-0.349,-0.010,0.370,-0.159,0.297,9.698,0.120,-0.021,
0.005,-0.167,0.537,-0.199,9.739,-0.349,-0.010,0.370,-0.159,0.297,9.698,0.120,-0.021,
0.005,-0.154,0.490,-0.181,9.739,-0.349,-0.010,0.340,-0.139,0.269,9.695,0.118,-0.022,
0.007,-0.129,0.400,-0.149,9.739,-0.348,-0.008,0.286,-0.104,0.212,9.690,0.115,-0.025,
0.009,-0.103,0.315,-0.120,9.739,-0.348,-0.007,0.235,-0.077,0.156,9.684,0.113,-0.026,
0.011,-0.075,0.241,-0.095,9.739,-0.348,-0.007,0.174,-0.052,0.079,9.678,0.113,-0.028,
0.013,-0.053,0.178,-0.070,9.739,-0.348,-0.007,0.157,-0.045,0.058,9.677,0.113,-0.029,
0.015,-0.036,0.127,-0.046,9.739,-0.347,-0.008,0.123,-0.032,0.016,9.674,0.113,-0.031,
0.017,-0.020,0.085,-0.029,9.739,-0.347,-0.009,0.089,-0.017,-0.021,9.673,0.113,-0.032,
0.019,-0.007,0.049,-0.017,9.738,-0.347,-0.010,0.053,-0.001,-0.049,9.673,0.113,-0.032,
0.021,0.004,0.022,-0.001,9.738,-0.347,-0.011,0.028,0.014,-0.068,9.674,0.114,-0.031,
0.023,0.011,0.000,0.015,9.737,-0.347,-0.013,0.014,0.024,-0.070,9.675,0.114,-0.031,
0.025,0.012,-0.013,0.022,9.736,-0.347,-0.015,0.002,0.027,-0.062,9.675,0.113,-0.031,
0.027,0.009,-0.020,0.026,9.736,-0.346,-0.017,-0.005,0.024,-0.054,9.677,0.112,-0.032,
0.029,0.004,-0.019,0.030,9.736,-0.346,-0.019,-0.008,0.018,-0.041,9.677,0.111,-0.031,
0.031,-0.000,-0.012,0.032,9.736,-0.347,-0.022,-0.005,0.015,-0.023,9.677,0.111,-0.028,
0.033,-0.000,-0.006,0.030,9.737,-0.348,-0.023,-0.000,0.016,-0.019,9.678,0.111,-0.028,
0.035,0.002,0.000,0.027,9.739,-0.348,-0.024,0.007,0.020,-0.015,9.678,0.111,-0.028,
0.037,0.005,0.003,0.021,9.739,-0.348,-0.026,0.013,0.023,-0.009,9.680,0.111,-0.028,
0.039,0.004,0.002,0.013,9.739,-0.348,-0.029,0.008,0.023,-0.010,9.682,0.110,-0.029,
0.041,0.004,-0.000,0.005,9.739,-0.348,-0.031,0.002,0.025,-0.021,9.684,0.109,-0.030,
0.043,0.008,-0.003,-0.004,9.739,-0.348,-0.033,-0.003,0.027,-0.038,9.685,0.109,-0.031,
0.045,0.008,-0.007,-0.009,9.738,-0.348,-0.035,-0.003,0.030,-0.052,9.686,0.109,-0.033,
0.047,0.010,-0.017,-0.011,9.738,-0.349,-0.036,-0.004,0.026,-0.063,9.686,0.109,-0.034,
0.049,0.009,-0.024,-0.011,9.738,-0.349,-0.036,-0.010,0.016,-0.071,9.687,0.109,-0.036,
0.051,0.006,-0.024,-0.008,9.738,-0.348,-0.037,-0.014,0.004,-0.076,9.689,0.110,-0.039,
0.053,0.002,-0.021,-0.004,9.738,-0.348,-0.038,-0.020,-0.003,-0.077,9.693,0.111,-0.040,
0.055,-0.003,-0.020,0.001,9.739,-0.347,-0.037,-0.031,-0.006,-0.081,9.696,0.111,-0.039,
0.057,-0.009,-0.016,0.007,9.739,-0.344,-0.037,-0.031,-0.012,-0.079,9.696,0.112,-0.037,
0.059,-0.015,-0.017,0.014,9.739,-0.341,-0.035,-0.022,-0.015,-0.066,9.696,0.112,-0.037,
0.061,-0.018,-0.022,0.019,9.738,-0.339,-0.032,-0.019,-0.012,-0.050,9.697,0.112,-0.039,
0.063,-0.017,-0.028,0.017,9.737,-0.337,-0.029,-0.024,-0.008,-0.036,9.699,0.112,-0.039,
0.065,-0.016,-0.030,0.014,9.737,-0.337,-0.027,-0.038,-0.011,-0.023,9.698,0.114,-0.038,
0.067,-0.014,-0.033,0.007,9.737,-0.338,-0.026,-0.043,-0.018,-0.015,9.697,0.116,-0.037,
0.069,-0.014,-0.034,-0.002,9.737,-0.340,-0.025,-0.036,-0.020,-0.017,9.694,0.116,-0.035,
0.071,-0.016,-0.030,-0.010,9.737,-0.344,-0.024,-0.023,-0.021,-0.020,9.690,0.114,-0.034,
0.073,-0.015,-0.025,-0.017,9.737,-0.347,-0.024,-0.007,-0.022,-0.018,9.685,0.112,-0.032,
0.075,-0.015,-0.025,-0.021,9.737,-0.349,-0.025,0.002,-0.021,-0.016,9.682,0.112,-0.031,
0.077,-0.017,-0.026,-0.018,9.736,-0.351,-0.026,0.007,-0.015,-0.016,9.683,0.112,-0.029,
0.079,-0.021,-0.025,-0.009,9.735,-0.352,-0.026,0.017,-0.003,-0.015,9.682,0.113,-0.028,
0.081,-0.018,-0.025,-0.002,9.735,-0.352,-0.026,0.028,0.004,-0.016,9.682,0.115,-0.026,
0.083,-0.010,-0.024,0.005,9.735,-0.351,-0.025,0.037,0.004,-0.020,9.683,0.118,-0.025,
0.085,-0.003,-0.024,0.010,9.736,-0.350,-0.026,0.042,0.002,-0.029,9.684,0.121,-0.024,
0.087,-0.000,-0.023,0.012,9.737,-0.349,-0.026,0.045,0.001,-0.042,9.684,0.123,-0.024,
0.089,-0.004,-0.024,0.011,9.737,-0.348,-0.025,0.044,0.002,-0.044,9.685,0.124,-0.024,
0.091,-0.012,-0.028,0.013,9.738,-0.346,-0.024,0.039,0.009,-0.034,9.685,0.126,-0.023,
0.093,-0.019,-0.029,0.021,9.738,-0.344,-0.022,0.026,0.021,-0.018,9.685,0.126,-0.022,
0.095,-0.023,-0.028,0.028,9.738,-0.343,-0.021,0.012,0.029,0.002,9.686,0.126,-0.021,
0.097,-0.025,-0.028,0.036,9.738,-0.341,-0.020,-0.001,0.032,0.027,9.687,0.125,-0.020,
0.099,-0.024,-0.028,0.040,9.738,-0.337,-0.019,-0.013,0.030,0.055,9.689,0.125,-0.018,
0.101,-0.020,-0.027,0.039,9.739,-0.334,-0.019,-0.022,0.024,0.076,9.689,0.125,-0.016,
0.103,-0.016,-0.025,0.036,9.740,-0.331,-0.017,-0.027,0.020,0.088,9.686,0.126,-0.014,
0.105,-0.013,-0.019,0.034,9.741,-0.329,-0.014,-0.038,0.019,0.089,9.680,0.126,-0.012,
0.107,-0.011,-0.008,0.032,9.742,-0.329,-0.011,-0.062,0.023,0.084,9.675,0.126,-0.012,
0.109,-0.013,0.004,0.028,9.743,-0.329,-0.008,-0.081,0.031,0.077,9.672,0.126,-0.010,
0.111,-0.017,0.014,0.024,9.743,-0.329,-0.005,-0.088,0.040,0.060,9.670,0.127,-0.008,
0.113,-0.019,0.018,0.020,9.743,-0.330,-0.003,-0.085,0.049,0.038,9.670,0.126,-0.007,
0.115,-0.021,0.022,0.016,9.743,-0.331,-0.002,-0.075,0.057,0.018,9.671,0.125,-0.006,
0.117,-0.025,0.026,0.011,9.744,-0.333,-0.002,-0.055,0.067,-0.004,9.671,0.124,-0.006,
0.119,-0.030,0.028,0.010,9.744,-0.334,-0.002,-0.029,0.075,-0.020,9.671,0.123,-0.005,
0.121,-0.034,0.027,0.013,9.743,-0.335,-0.004,-0.003,0.070,-0.033,9.671,0.124,-0.005,
0.123,-0.036,0.021,0.016,9.742,-0.335,-0.004,0.013,0.062,-0.043,9.670,0.124,-0.005,
0.125,-0.040,0.015,0.022,9.742,-0.334,-0.005,0.024,0.056,-0.055,9.671,0.122,-0.005,
0.127,-0.042,0.011,0.025,9.741,-0.333,-0.005,0.030,0.048,-0.065,9.672,0.120,-0.004,
0.129,-0.040,0.006,0.023,9.741,-0.333,-0.005,0.035,0.043,-0.075,9.674,0.120,-0.003,
0.131,-0.037,0.004,0.024,9.741,-0.333,-0.006,0.032,0.038,-0.087,9.676,0.121,-0.002,
0.133,-0.038,0.005,0.026,9.741,-0.334,-0.006,0.034,0.035,-0.101,9.676,0.122,-0.000,
0.135,-0.040,0.008,0.027,9.742,-0.335,-0.006,0.045,0.035,-0.111,9.675,0.124,0.001,
0.137,-0.042,0.013,0.029,9.743,-0.336,-0.005,0.057,0.041,-0.111,9.673,0.124,0.003,
0.139,-0.041,0.020,0.028,9.743,-0.336,-0.003,0.062,0.045,-0.103,9.673,0.125,0.003,
0.141,-0.039,0.024,0.027,9.743,-0.337,-0.001,0.060,0.042,-0.094,9.673,0.125,0.004,
0.143,-0.038,0.029,0.025,9.744,-0.338,0.002,0.048,0.038,-0.089,9.674,0.123,0.005,
0.145,-0.038,0.035,0.020,9.744,-0.338,0.003,0.034,0.035,-0.084,9.675,0.121,0.006,
0.147,-0.036,0.039,0.015,9.744,-0.339,0.005,0.020,0.034,-0.075,9.675,0.120,0.007,
0.149,-0.031,0.039,0.009,9.743,-0.340,0.006,0.008,0.031,-0.061,9.675,0.119,0.009,
0.151,-0.026,0.038,0.003,9.743,-0.340,0.006,-0.001,0.022,-0.041,9.675,0.119,0.011,
