0.000,-0.278,1.100,0.232,-9.878,0.124,0.215,0.796,0.197,1.152,-9.975,0.607,0.340,
0.002,-0.255,1.029,0.218,-9.879,0.124,0.215,0.678,0.190,0.997,-9.975,0.606,0.340,
0.004,-0.207,0.883,0.188,-9.880,0.122,0.214,0.566,0.176,0.833,-9.977,0.605,0.339,
0.006,-0.162,0.740,0.158,-9.880,0.121,0.214,0.458,0.160,0.668,-9.980,0.604,0.339,
0.008,-0.127,0.603,0.124,-9.881,0.119,0.214,0.354,0.148,0.510,-9.984,0.605,0.339,
0.010,-0.100,0.475,0.087,-9.882,0.118,0.215,0.263,0.139,0.373,-9.987,0.606,0.338,
0.012,-0.078,0.364,0.053,-9.882,0.118,0.215,0.179,0.123,0.255,-9.990,0.608,0.337,
0.014,-0.058,0.268,0.025,-9.882,0.119,0.215,0.104,0.103,0.161,-9.995,0.609,0.336,
0.016,-0.041,0.184,0.004,-9.882,0.121,0.214,0.046,0.082,0.091,-9.999,0.610,0.335,
0.018,-0.029,0.118,-0.010,-9.882,0.122,0.212,0.003,0.058,0.033,-10.005,0.612,0.335,
0.025,-0.012,0.010,-0.026,-9.882,0.120,0.210,-0.074,-0.000,-0.057,-10.011,0.613,0.335,
0.026,-0.004,-0.009,-0.024,-9.882,0.121,0.210,-0.086,-0.014,-0.066,-10.010,0.614,0.335,
0.028,0.004,-0.019,-0.020,-9.883,0.122,0.210,-0.090,-0.022,-0.060,-10.007,0.615,0.337,
0.030,0.008,-0.023,-0.016,-9.883,0.123,0.211,-0.086,-0.027,-0.050,-10.005,0.616,0.338,
0.032,0.011,-0.026,-0.011,-9.883,0.123,0.213,-0.073,-0.030,-0.038,-10.003,0.616,0.337,
0.034,0.011,-0.029,-0.004,-9.883,0.124,0.214,-0.055,-0.029,-0.029,-10.001,0.615,0.335,
0.036,0.011,-0.030,0.001,-9.883,0.124,0.215,-0.035,-0.024,-0.020,-9.999,0.615,0.333,
0.038,0.013,-0.028,0.009,-9.882,0.124,0.215,-0.014,-0.018,-0.009,-9.997,0.615,0.331,
0.040,0.007,-0.024,0.017,-9.882,0.125,0.216,0.001,-0.020,-0.000,-9.997,0.615,0.331,
0.042,0.001,-0.020,0.024,-9.882,0.125,0.217,0.013,-0.021,0.005,-9.996,0.616,0.332,
0.048,0.007,-0.014,0.024,-9.878,0.126,0.216,0.047,-0.032,0.026,-9.995,0.612,0.334,
