time,gyrx,gyry,gyrz,rol,pit,yaw,accx,accy,accz,vCmds
0.002,0.000,0.000,0.000,0.000,0.000,0.000,1.696,-0.028,-10.428,0.000,
0.005,12.107,-14.506,1.620,0.000,0.000,0.000,2.441,-0.108,-14.551,0.000,
0.007,25.865,-30.367,3.730,0.024,-0.029,0.003,1.920,-0.151,-10.943,0.000,
0.009,35.069,-40.424,5.355,0.076,-0.090,0.011,1.609,-0.150,-8.884,0.000,
0.011,38.262,-43.261,6.153,0.146,-0.171,0.021,1.821,-0.154,-10.060,0.000,
0.013,37.009,-40.991,6.254,0.223,-0.257,0.034,2.013,-0.175,-11.008,0.000,
0.015,33.818,-36.720,5.986,0.297,-0.339,0.046,1.996,-0.200,-10.644,0.000,
0.017,30.697,-32.855,5.653,0.364,-0.413,0.058,1.966,-0.223,-10.202,0.000,
0.019,28.610,-30.501,5.434,0.426,-0.478,0.070,2.017,-0.249,-10.260,0.000,
0.021,27.610,-29.668,5.382,0.483,-0.539,0.080,2.086,-0.280,-10.402,0.000,
0.023,27.272,-29.801,5.472,0.538,-0.599,0.091,2.129,-0.312,-10.351,0.000,
0.025,27.107,-30.276,5.662,0.593,-0.658,0.102,2.165,-0.341,-10.240,9.000,
0.033,26.787,-30.681,5.926,0.647,-0.719,0.113,2.328,-0.418,-10.087,8.000,
0.035,25.438,-31.001,6.770,0.700,-0.780,0.125,2.423,-0.449,-10.030,0.000,
0.037,23.796,-31.287,7.841,0.751,-0.842,0.139,2.429,-0.430,-10.034,8.000,
0.039,22.367,-31.623,8.897,0.799,-0.905,0.154,2.455,-0.418,-10.011,8.000,
0.041,21.333,-32.077,9.852,0.844,-0.968,0.172,2.520,-0.425,-9.960,0.000,
0.043,20.644,-32.675,10.738,0.886,-1.032,0.192,2.580,-0.432,-9.916,8.000,
0.045,20.150,-33.412,11.627,0.928,-1.097,0.213,2.620,-0.430,-9.883,9.000,
0.047,19.704,-34.259,12.579,0.968,-1.164,0.237,2.656,-0.431,-9.854,0.000,
0.049,19.210,-35.187,13.614,1.007,-1.233,0.262,2.695,-0.438,-9.823,8.000,
0.051,18.632,-36.174,14.715,1.046,-1.303,0.289,2.732,-0.449,-9.796,8.000,
0.053,17.974,-37.206,15.847,1.083,-1.375,0.319,2.763,-0.467,-9.773,9.000,
0.055,17.261,-38.273,16.969,1.119,-1.450,0.350,2.788,-0.491,-9.751,0.000,
0.059,16.525,-39.366,18.043,1.153,-1.526,0.384,2.848,-0.560,-9.703,8.000,
0.061,15.357,-41.124,19.588,1.186,-1.605,0.420,2.881,-0.612,-9.679,9.000,
0.063,14.152,-42.969,21.102,1.217,-1.687,0.459,2.882,-0.635,-9.681,8.000,
0.065,13.134,-44.583,22.298,1.246,-1.773,0.502,2.886,-0.659,-9.681,9.000,
0.067,12.355,-45.904,23.098,1.272,-1.863,0.546,2.904,-0.691,-9.672,8.000,
0.069,11.755,-47.018,23.559,1.296,-1.954,0.592,2.927,-0.717,-9.666,9.000,
0.071,11.247,-48.048,23.778,1.320,-2.048,0.640,2.954,-0.728,-9.662,8.000,
0.073,10.766,-49.080,23.838,1.342,-2.144,0.687,2.987,-0.731,-9.655,9.000,
0.075,10.294,-50.132,23.790,1.364,-2.243,0.735,3.024,-0.729,-9.645,8.000,
0.077,9.851,-51.174,23.662,1.385,-2.343,0.782,3.061,-0.722,-9.634,9.000,
0.079,9.472,-52.150,23.467,1.404,-2.445,0.830,3.097,-0.710,-9.623,8.000,
0.084,9.189,-53.015,23.217,1.423,-2.550,0.877,3.159,-0.682,-9.597,9.000,
0.086,9.002,-53.973,22.798,1.442,-2.656,0.923,3.192,-0.659,-9.580,8.000,
0.088,8.955,-54.797,22.317,1.460,-2.764,0.969,3.195,-0.644,-9.571,9.000,
0.090,9.038,-55.390,21.839,1.478,-2.873,1.013,3.201,-0.631,-9.559,8.000,
0.092,9.213,-55.770,21.384,1.496,-2.984,1.057,3.218,-0.622,-9.543,9.000,
0.094,9.449,-56.004,20.933,1.514,-3.095,1.100,3.237,-0.620,-9.527,8.000,
0.096,9.736,-56.165,20.449,1.533,-3.207,1.142,3.253,-0.623,-9.515,9.000,
0.098,10.078,-56.282,19.897,1.552,-3.320,1.182,3.271,-0.623,-9.505,8.000,
0.100,10.484,-56.350,19.259,1.573,-3.432,1.222,3.287,-0.615,-9.499,9.000,
0.102,10.952,-56.336,18.535,1.594,-3.545,1.261,3.295,-0.597,-9.495,8.000,
0.104,11.465,-56.205,17.741,1.615,-3.658,1.298,3.293,-0.573,-9.495,9.000,
0.106,12.000,-55.943,16.897,1.638,-3.770,1.333,3.281,-0.548,-9.496,8.000,
0.110,12.533,-55.558,16.017,1.662,-3.882,1.367,3.232,-0.493,-9.514,8.000,
0.112,13.306,-54.771,14.561,1.687,-3.993,1.399,3.195,-0.460,-9.538,9.000,
0.114,14.057,-53.857,13.018,1.714,-4.103,1.428,3.179,-0.456,-9.558,8.000,
0.116,14.648,-52.988,11.673,1.742,-4.210,1.454,3.158,-0.453,-9.580,9.000,
0.118,15.060,-52.214,10.599,1.771,-4.316,1.478,3.129,-0.443,-9.606,8.000,
0.120,15.352,-51.504,9.733,1.802,-4.421,1.499,3.100,-0.434,-9.632,8.000,
0.122,15.602,-50.803,8.970,1.832,-4.524,1.518,3.074,-0.429,-9.658,8.000,
0.124,15.872,-50.069,8.223,1.864,-4.625,1.536,3.047,-0.423,-9.685,9.000,
0.126,16.192,-49.301,7.451,1.895,-4.726,1.553,3.016,-0.410,-9.709,8.000,
0.128,16.558,-48.522,6.659,1.928,-4.824,1.568,2.981,-0.391,-9.732,8.000,
0.130,16.953,-47.778,5.882,1.961,-4.921,1.581,2.944,-0.369,-9.757,8.000,
0.132,17.352,-47.110,5.164,1.995,-5.017,1.593,2.911,-0.347,-9.780,8.000,
0.137,17.733,-46.554,4.539,2.029,-5.111,1.603,2.849,-0.306,-9.815,9.000,
0.139,18.185,-46.032,3.880,2.065,-5.204,1.612,2.809,-0.282,-9.838,8.000,
0.141,18.584,-45.692,3.347,2.101,-5.296,1.620,2.795,-0.278,-9.849,8.000,
0.143,18.866,-45.581,2.995,2.138,-5.388,1.627,2.780,-0.273,-9.864,8.000,
0.145,19.022,-45.667,2.798,2.176,-5.479,1.633,2.760,-0.263,-9.886,8.000,
0.147,19.077,-45.880,2.693,2.214,-5.570,1.638,2.746,-0.252,-9.910,8.000,
0.149,19.064,-46.154,2.615,2.252,-5.662,1.644,2.740,-0.242,-9.934,8.000,
0.151,19.010,-46.438,2.527,2.290,-5.754,1.649,2.738,-0.233,-9.960,8.000,
0.153,18.930,-46.701,2.415,2.328,-5.847,1.654,2.736,-0.223,-9.988,8.000,
0.155,18.833,-46.928,2.287,2.366,-5.940,1.659,2.734,-0.209,-10.012,8.000,
0.157,18.721,-47.116,2.153,2.404,-6.034,1.663,2.733,-0.192,-10.032,8.000,
0.162,18.595,-47.265,2.029,2.441,-6.128,1.668,2.726,-0.140,-10.069,8.000,
0.164,18.332,-47.428,1.880,2.479,-6.223,1.672,2.715,-0.103,-10.088,8.000,
0.166,18.004,-47.551,1.750,2.515,-6.318,1.675,2.700,-0.086,-10.084,9.000,
0.168,17.668,-47.617,1.654,2.551,-6.413,1.679,2.677,-0.068,-10.078,8.000,
0.170,17.358,-47.640,1.591,2.587,-6.508,1.682,2.649,-0.043,-10.074,8.000,
0.172,17.090,-47.645,1.555,2.621,-6.603,1.685,2.619,-0.019,-10.066,8.000,
0.174,16.870,-47.652,1.543,2.656,-6.699,1.688,2.590,0.001,-10.051,8.000,
0.176,16.702,-47.668,1.560,2.689,-6.794,1.692,2.556,0.019,-10.034,8.000,
0.178,16.582,-47.691,1.615,2.723,-6.889,1.695,2.519,0.037,-10.018,8.000,
0.180,16.507,-47.719,1.721,2.756,-6.985,1.698,2.483,0.056,-10.006,8.000,
0.182,16.480,-47.749,1.889,2.789,-7.080,1.701,2.446,0.076,-9.997,8.000,
0.184,16.500,-47.775,2.126,2.822,-7.176,1.705,2.407,0.095,-9.989,8.000,
0.188,16.561,-47.788,2.434,2.855,-7.271,1.709,2.324,0.140,-9.966,8.000,
0.190,16.705,-47.773,2.982,2.888,-7.367,1.714,2.247,0.180,-9.942,8.000,
0.192,16.928,-47.733,3.739,2.921,-7.462,1.720,2.216,0.192,-9.931,8.000,
0.194,17.176,-47.687,4.528,2.955,-7.558,1.728,2.198,0.195,-9.926,8.000,
0.196,17.418,-47.649,5.255,2.990,-7.653,1.737,2.168,0.202,-9.919,8.000,
0.198,17.647,-47.626,5.903,3.024,-7.749,1.747,2.137,0.209,-9.912,8.000,
0.200,17.880,-47.608,6.495,3.060,-7.844,1.759,2.116,0.213,-9.905,9.000,
0.202,18.142,-47.575,7.069,3.095,-7.939,1.772,2.100,0.219,-9.903,8.000,
0.204,18.450,-47.504,7.645,3.132,-8.034,1.786,2.083,0.231,-9.905,8.000,
0.206,18.813,-47.376,8.225,3.169,-8.129,1.801,2.066,0.247,-9.909,8.000,
0.208,19.225,-47.189,8.806,3.206,-8.224,1.818,2.056,0.266,-9.916,8.000,
0.210,19.678,-46.943,9.386,3.245,-8.318,1.836,2.056,0.285,-9.925,9.000,
0.215,20.159,-46.640,9.959,3.284,-8.412,1.854,2.061,0.322,-9.937,8.000,
0.217,20.849,-46.118,10.731,3.324,-8.505,1.874,2.070,0.343,-9.944,8.000,
0.219,21.571,-45.510,11.511,3.366,-8.598,1.896,2.081,0.343,-9.943,8.000,
0.221,22.220,-44.906,12.193,3.409,-8.689,1.919,2.093,0.344,-9.940,9.000,
0.223,22.777,-44.342,12.753,3.454,-8.778,1.943,2.103,0.350,-9.937,8.000,
0.225,23.263,-43.818,13.217,3.499,-8.867,1.969,2.111,0.356,-9.934,8.000,
0.227,23.717,-43.318,13.624,3.546,-8.955,1.995,2.115,0.358,-9.928,9.000,
0.229,24.163,-42.829,14.003,3.593,-9.041,2.022,2.118,0.356,-9.917,8.000,
0.231,24.622,-42.350,14.384,3.641,-9.127,2.050,2.120,0.351,-9.903,8.000,
0.233,25.101,-41.892,14.783,3.691,-9.212,2.079,2.119,0.344,-9.887,9.000,
0.235,25.609,-41.472,15.204,3.741,-9.296,2.109,2.116,0.338,-9.871,8.000,
0.239,26.149,-41.097,15.651,3.792,-9.379,2.139,2.093,0.319,-9.817,8.000,
0.241,27.073,-40.591,16.418,3.844,-9.461,2.170,2.070,0.302,-9.778,9.000,
0.243,28.079,-40.101,17.258,3.899,-9.542,2.203,2.055,0.290,-9.766,8.000,
0.245,28.989,-39.688,18.018,3.955,-9.622,2.238,2.038,0.277,-9.752,9.000,
0.247,29.765,-39.346,18.655,4.013,-9.701,2.274,2.019,0.261,-9.733,8.000,
0.249,30.452,-39.034,19.198,4.072,-9.780,2.311,2.005,0.247,-9.715,9.000,
0.251,31.117,-38.705,19.697,4.133,-9.858,2.349,1.997,0.235,-9.702,8.000,
0.253,31.809,-38.329,20.193,4.195,-9.936,2.389,1.994,0.219,-9.692,9.000,
0.255,32.543,-37.890,20.709,4.259,-10.012,2.429,1.994,0.193,-9.684,8.000,
0.257,33.316,-37.391,21.244,4.324,-10.088,2.471,1.996,0.163,-9.678,9.000,
0.259,34.122,-36.843,21.785,4.391,-10.163,2.513,2.004,0.135,-9.675,8.000,
0.261,34.953,-36.256,22.310,4.459,-10.237,2.557,2.016,0.109,-9.676,9.000,
0.266,35.793,-35.633,22.799,4.529,-10.309,2.601,2.050,0.060,-9.693,8.000,
0.268,36.944,-34.711,23.379,4.600,-10.380,2.647,2.080,0.028,-9.708,9.000,
0.270,38.099,-33.733,23.897,4.674,-10.450,2.694,2.102,0.015,-9.717,9.000,
0.272,39.084,-32.849,24.286,4.751,-10.517,2.741,2.130,-0.001,-9.725,8.000,
0.274,39.859,-32.102,24.554,4.829,-10.583,2.790,2.165,-0.026,-9.736,9.000,
0.276,40.476,-31.464,24.749,4.908,-10.647,2.839,2.201,-0.051,-9.748,9.000,
0.278,41.010,-30.884,24.922,4.989,-10.710,2.889,2.235,-0.078,-9.754,8.000,
0.280,41.518,-30.317,25.107,5.071,-10.772,2.938,2.266,-0.107,-9.754,9.000,
0.282,42.029,-29.747,25.314,5.154,-10.832,2.989,2.297,-0.138,-9.753,1.000,
0.284,42.545,-29.178,25.539,5.238,-10.892,3.039,2.328,-0.167,-9.750,8.000,
0.286,43.053,-28.625,25.770,5.324,-10.950,3.090,2.359,-0.196,-9.748,9.000,
0.288,43.534,-28.099,25.997,5.410,-11.008,3.142,2.390,-0.225,-9.747,9.000,
0.292,43.971,-27.602,26.216,5.497,-11.064,3.194,2.455,-0.291,-9.747,9.000,
0.294,44.545,-26.901,26.563,5.585,-11.119,3.246,2.495,-0.326,-9.747,8.000,
0.296,45.068,-26.240,26.924,5.674,-11.173,3.299,2.507,-0.332,-9.748,9.000,
0.298,45.438,-25.748,27.229,5.764,-11.225,3.353,2.526,-0.349,-9.749,1.000,
0.300,45.639,-25.448,27.456,5.855,-11.277,3.408,2.561,-0.383,-9.751,9.000,
0.302,45.710,-25.290,27.611,5.946,-11.328,3.463,2.598,-0.418,-9.753,8.000,
0.304,45.705,-25.201,27.705,6.038,-11.378,3.518,2.631,-0.449,-9.757,9.000,
0.306,45.668,-25.126,27.738,6.129,-11.429,3.573,2.667,-0.481,-9.764,9.000,
0.308,45.614,-25.034,27.696,6.220,-11.479,3.629,2.709,-0.514,-9.771,1.000,
0.310,45.538,-24.913,27.561,6.311,-11.529,3.684,2.756,-0.547,-9.778,9.000,
0.312,45.423,-24.766,27.308,6.403,-11.579,3.739,2.806,-0.577,-9.787,8.000,
0.317,45.253,-24.602,26.916,6.493,-11.628,3.794,2.919,-0.631,-9.807,9.000,
0.319,44.882,-24.356,26.091,6.584,-11.678,3.848,3.004,-0.666,-9.819,1.000,
0.321,44.395,-24.077,25.044,6.674,-11.726,3.900,3.049,-0.680,-9.818,9.000,
0.323,43.858,-23.796,23.928,6.762,-11.774,3.950,3.103,-0.699,-9.818,9.000,
0.325,43.303,-23.525,22.807,6.850,-11.822,3.998,3.176,-0.724,-9.819,8.000,
0.327,42.734,-23.267,21.675,6.937,-11.869,4.044,3.249,-0.747,-9.818,1.000,
0.329,42.134,-23.022,20.493,7.022,-11.916,4.087,3.317,-0.768,-9.815,9.000,
0.331,41.480,-22.796,19.227,7.107,-11.962,4.128,3.389,-0.794,-9.812,8.000,
0.333,40.760,-22.592,17.864,7.189,-12.007,4.166,3.463,-0.824,-9.807,9.000,
0.335,39.984,-22.409,16.413,7.271,-12.052,4.202,3.536,-0.855,-9.800,1.000,
0.337,39.178,-22.244,14.899,7.351,-12.097,4.235,3.604,-0.885,-9.794,8.000,
0.339,38.371,-22.093,13.348,7.429,-12.142,4.265,3.673,-0.913,-9.794,9.000,
0.343,37.589,-21.950,11.780,7.506,-12.186,4.291,3.838,-0.969,-9.800,8.000,
0.345,36.421,-21.676,9.304,7.581,-12.230,4.315,3.934,-0.996,-9.800,1.000,
0.347,35.229,-21.330,6.728,7.654,-12.273,4.334,3.949,-0.996,-9.795,8.000,
0.349,34.195,-20.949,4.511,7.725,-12.316,4.347,3.980,-1.000,-9.787,8.000,
0.351,33.342,-20.534,2.759,7.793,-12.358,4.356,4.039,-1.013,-9.774,0.000,
0.353,32.597,-20.065,1.357,7.860,-12.399,4.362,4.091,-1.021,-9.750,9.000,
0.355,31.876,-19.518,0.126,7.925,-12.439,4.364,4.126,-1.023,-9.719,8.000,
0.357,31.120,-18.872,-1.071,7.989,-12.478,4.364,4.157,-1.021,-9.687,0.000,
0.359,30.310,-18.125,-2.288,8.051,-12.516,4.362,4.190,-1.014,-9.658,8.000,
0.361,29.463,-17.279,-3.521,8.111,-12.552,4.358,4.218,-1.000,-9.631,12.000,
0.363,28.607,-16.344,-4.734,8.170,-12.586,4.351,4.234,-0.979,-9.606,0.000,
0.368,27.767,-15.336,-5.887,8.228,-12.619,4.341,4.254,-0.932,-9.564,8.000,
0.370,26.661,-13.843,-7.321,8.283,-12.650,4.329,4.255,-0.906,-9.536,8.000,
0.372,25.578,-12.250,-8.672,8.336,-12.678,4.315,4.237,-0.903,-9.524,0.000,
0.374,24.682,-10.793,-9.753,8.388,-12.702,4.297,4.209,-0.902,-9.510,8.000,
0.376,24.018,-9.557,-10.545,8.437,-12.724,4.278,4.170,-0.897,-9.489,0.000,
0.378,23.554,-8.527,-11.122,8.485,-12.743,4.257,4.118,-0.897,-9.466,4.000,
0.380,23.234,-7.663,-11.581,8.532,-12.760,4.235,4.057,-0.904,-9.445,8.000,
0.382,23.005,-6.940,-11.995,8.579,-12.775,4.211,3.991,-0.912,-9.425,0.000,
0.384,22.838,-6.365,-12.404,8.625,-12.789,4.187,3.922,-0.917,-9.402,4.000,
0.386,22.719,-5.970,-12.819,8.670,-12.802,4.163,3.854,-0.923,-9.375,8.000,
0.388,22.638,-5.786,-13.238,8.716,-12.814,4.137,3.791,-0.930,-9.352,0.000,
0.390,22.582,-5.842,-13.651,8.761,-12.825,4.111,3.738,-0.941,-9.335,4.000,
0.394,22.543,-6.151,-14.043,8.806,-12.837,4.083,3.643,-0.976,-9.308,0.000,
0.396,22.572,-7.208,-14.539,8.851,-12.849,4.055,3.600,-0.991,-9.293,8.000,
0.398,22.673,-8.652,-14.967,8.896,-12.864,4.026,3.609,-0.979,-9.286,4.000,
0.400,22.818,-10.209,-15.248,8.942,-12.881,3.996,3.615,-0.964,-9.278,0.000,
0.402,22.971,-11.753,-15.378,8.987,-12.901,3.966,3.612,-0.954,-9.270,12.000,
0.404,23.108,-13.276,-15.391,9.033,-12.925,3.935,3.623,-0.931,-9.258,0.000,
0.406,23.244,-15.153,-15.317,9.079,-12.951,3.904,3.642,-0.905,-9.250,4.000,
0.408,23.361,-17.148,-15.185,9.126,-12.982,3.874,3.657,-0.884,-9.244,8.000,
0.410,23.446,-19.118,-15.017,9.173,-13.016,3.843,3.667,-0.864,-9.234,0.000,
0.412,23.489,-21.019,-14.826,9.220,-13.054,3.813,3.678,-0.840,-9.222,12.000,
0.414,23.478,-22.868,-14.633,9.267,-13.096,3.783,3.686,-0.819,-9.213,8.000,
0.416,23.411,-24.701,-14.452,9.314,-13.142,3.754,3.692,-0.801,-9.204,4.000,
0.421,23.297,-26.547,-14.297,9.360,-13.191,3.725,3.696,-0.768,-9.188,8.000,
0.423,23.100,-29.148,-14.169,9.407,-13.244,3.697,3.696,-0.744,-9.178,12.000,
0.425,22.874,-31.826,-14.125,9.453,-13.303,3.668,3.692,-0.732,-9.178,8.000,
0.427,22.649,-34.169,-14.198,9.499,-13.366,3.640,3.687,-0.718,-9.186,8.000,
0.429,22.437,-36.061,-14.400,9.544,-13.435,3.612,3.683,-0.699,-9.198,12.000,
0.431,22.236,-37.584,-14.721,9.589,-13.507,3.583,3.682,-0.679,-9.213,8.000,
0.433,22.043,-38.877,-15.145,9.634,-13.582,3.553,3.679,-0.661,-9.230,12.000,
0.435,21.856,-40.056,-15.650,9.678,-13.660,3.523,3.674,-0.639,-9.247,8.000,
0.437,21.675,-41.183,-16.220,9.721,-13.740,3.492,3.669,-0.615,-9.264,12.000,
0.439,21.499,-42.268,-16.839,9.765,-13.822,3.459,3.663,-0.593,-9.279,8.000,
0.441,21.330,-43.297,-17.484,9.808,-13.907,3.426,3.656,-0.576,-9.290,12.000,
0.445,21.176,-44.252,-18.126,9.850,-13.993,3.391,3.624,-0.534,-9.321,8.000,
0.447,21.002,-45.603,-19.072,9.893,-14.082,3.355,3.597,-0.506,-9.342,12.000,
0.449,20.882,-46.928,-19.995,9.935,-14.173,3.316,3.584,-0.496,-9.348,8.000,
0.451,20.849,-48.012,-20.715,9.976,-14.267,3.276,3.569,-0.483,-9.357,12.000,
0.453,20.900,-48.833,-21.196,10.018,-14.363,3.235,3.547,-0.464,-9.368,8.000,
0.455,21.013,-49.473,-21.485,10.060,-14.461,3.193,3.521,-0.448,-9.377,12.000,
0.457,21.163,-50.040,-21.657,10.102,-14.560,3.150,3.496,-0.439,-9.383,12.000,
0.459,21.333,-50.609,-21.769,10.144,-14.660,3.106,3.470,-0.432,-9.391,8.000,
0.461,21.516,-51.208,-21.852,10.187,-14.761,3.063,3.442,-0.427,-9.404,12.000,
0.463,21.712,-51.832,-21.912,10.230,-14.863,3.019,3.415,-0.419,-9.418,12.000,
