time,gyrx,gyry,gyrz,rol,pit,yaw,accx,accy,accz,vCmds
0.146,0.027,-0.020,-0.016,0.004,-0.001,0.002,0.000,-0.001,-0.005,0.000,
0.148,0.034,-0.015,-0.021,0.004,-0.001,0.002,0.003,-0.001,-0.003,0.000,
0.150,0.039,-0.007,-0.025,0.004,-0.001,0.002,0.006,-0.002,-0.001,0.000,
0.152,0.042,0.004,-0.029,0.004,-0.001,0.002,0.007,-0.002,0.000,0.000,
0.154,0.040,0.017,-0.032,0.004,-0.001,0.002,0.007,-0.002,0.001,0.000,
0.159,0.035,0.029,-0.036,0.005,-0.001,0.002,0.008,-0.001,0.001,0.000,
0.161,0.023,0.041,-0.043,0.005,-0.001,0.001,0.007,0.002,0.002,0.000,
0.163,0.008,0.046,-0.051,0.005,-0.001,0.001,0.005,0.004,0.004,0.000,
0.165,-0.010,0.044,-0.055,0.005,-0.001,0.001,0.002,0.007,0.005,0.000,
0.167,-0.029,0.036,-0.055,0.005,-0.000,0.001,-0.001,0.009,0.005,0.000,
0.169,-0.044,0.024,-0.053,0.005,-0.000,0.001,-0.005,0.011,0.005,0.000,
0.171,-0.054,0.008,-0.050,0.005,-0.000,0.001,-0.007,0.011,0.004,0.000,
0.173,-0.055,-0.009,-0.046,0.004,-0.000,0.001,-0.008,0.011,0.004,0.000,
0.175,-0.049,-0.023,-0.043,0.004,-0.000,0.001,-0.009,0.010,0.004,0.000,
0.177,-0.037,-0.031,-0.040,0.004,-0.000,0.001,-0.009,0.009,0.004,0.000,
0.179,-0.022,-0.033,-0.037,0.004,-0.000,0.001,-0.009,0.008,0.005,0.000,
0.181,-0.010,-0.034,-0.033,0.004,-0.001,0.001,-0.009,0.007,0.005,0.000,
0.185,0.001,-0.033,-0.028,0.004,-0.001,0.000,-0.009,0.006,0.005,0.000,
0.187,0.017,-0.026,-0.021,0.004,-0.001,0.000,-0.010,0.004,0.005,0.000,
0.189,0.029,-0.016,-0.013,0.004,-0.001,0.000,-0.012,0.004,0.004,0.000,
0.191,0.033,-0.005,-0.007,0.004,-0.001,0.000,-0.014,0.004,0.004,0.000,
0.193,0.030,0.002,-0.006,0.004,-0.001,0.000,-0.014,0.005,0.004,0.000,
0.195,0.022,0.003,-0.007,0.004,-0.001,0.000,-0.013,0.006,0.004,0.000,
0.197,0.014,-0.002,-0.009,0.004,-0.001,0.000,-0.010,0.005,0.004,0.000,
0.199,0.008,-0.013,-0.009,0.004,-0.001,0.000,-0.007,0.005,0.002,0.000,
0.201,0.004,-0.023,-0.006,0.004,-0.001,0.000,-0.003,0.003,0.000,0.000,
0.203,0.004,-0.027,-0.001,0.004,-0.001,0.000,0.001,0.002,-0.000,0.000,
0.205,0.007,-0.022,0.004,0.004,-0.001,0.000,0.005,0.001,-0.001,0.000,
0.207,0.012,-0.004,0.007,0.004,-0.001,0.000,0.008,-0.001,0.000,0.000,
0.212,0.017,0.024,0.009,0.004,-0.001,0.000,0.010,-0.002,0.002,0.000,
0.214,0.020,0.063,0.006,0.004,-0.001,0.000,0.009,-0.002,0.005,0.000,
0.216,0.023,0.098,-0.002,0.005,-0.001,0.000,0.005,-0.001,0.007,0.000,
0.218,0.023,0.117,-0.012,0.005,-0.001,0.000,-0.001,-0.001,0.008,0.000,
0.220,0.021,0.118,-0.018,0.005,-0.000,0.000,-0.007,-0.001,0.008,0.000,
0.222,0.018,0.102,-0.018,0.005,-0.000,0.000,-0.012,-0.001,0.007,0.000,
0.224,0.013,0.074,-0.010,0.005,0.000,0.000,-0.016,-0.001,0.007,0.000,
0.226,0.006,0.038,0.002,0.005,0.000,0.000,-0.017,-0.000,0.008,0.000,
0.228,-0.003,0.002,0.014,0.005,0.000,0.000,-0.016,0.001,0.010,0.000,
0.230,-0.011,-0.031,0.022,0.005,0.000,0.000,-0.014,0.001,0.010,0.000,
0.232,-0.019,-0.058,0.027,0.005,0.000,0.000,-0.012,0.001,0.010,0.000,
0.237,-0.024,-0.075,0.028,0.005,0.000,0.000,-0.009,0.001,0.009,0.000,
0.239,-0.023,-0.074,0.022,0.005,0.000,0.000,-0.005,0.001,0.006,0.000,
0.241,-0.016,-0.056,0.009,0.005,-0.000,0.000,-0.001,0.002,0.004,0.000,
0.243,-0.008,-0.028,-0.007,0.005,-0.000,0.000,0.001,0.004,0.003,0.000,
0.245,-0.001,0.004,-0.021,0.005,-0.000,0.000,0.001,0.005,0.003,0.000,
0.247,0.002,0.033,-0.028,0.005,-0.000,0.000,-0.001,0.005,0.003,0.000,
0.249,-0.001,0.056,-0.029,0.005,-0.000,0.000,-0.004,0.005,0.004,0.000,
0.251,-0.012,0.069,-0.024,0.005,-0.000,0.000,-0.007,0.003,0.004,0.000,
0.253,-0.028,0.069,-0.017,0.005,0.000,0.000,-0.009,0.002,0.005,0.000,
0.255,-0.044,0.060,-0.007,0.004,0.000,0.000,-0.011,0.000,0.006,0.000,
0.257,-0.059,0.048,0.003,0.004,0.000,0.000,-0.011,-0.002,0.006,0.000,
0.259,-0.070,0.033,0.015,0.004,0.000,0.000,-0.009,-0.003,0.005,0.000,
0.263,-0.077,0.016,0.027,0.004,0.000,0.000,-0.006,-0.005,0.003,0.000,
0.265,-0.075,-0.007,0.038,0.004,0.000,0.000,-0.001,-0.008,0.000,0.000,
0.267,-0.066,-0.027,0.045,0.004,0.000,0.000,0.004,-0.010,-0.002,0.000,
0.269,-0.054,-0.039,0.045,0.004,0.000,0.000,0.008,-0.011,-0.003,0.000,
0.271,-0.041,-0.040,0.040,0.004,0.000,0.000,0.011,-0.010,-0.005,0.000,
0.273,-0.027,-0.037,0.031,0.003,0.000,0.001,0.012,-0.009,-0.007,0.000,
0.275,-0.011,-0.031,0.021,0.003,0.000,0.001,0.013,-0.007,-0.009,0.000,
0.277,0.005,-0.026,0.013,0.003,0.000,0.001,0.013,-0.005,-0.011,0.000,
0.279,0.019,-0.021,0.010,0.003,0.000,0.001,0.012,-0.002,-0.013,0.000,
0.281,0.028,-0.017,0.009,0.003,0.000,0.001,0.010,0.002,-0.016,0.000,
0.283,0.031,-0.014,0.011,0.003,0.000,0.001,0.008,0.007,-0.018,0.000,
0.285,0.029,-0.014,0.012,0.004,-0.000,0.001,0.006,0.013,-0.019,0.000,
0.290,0.024,-0.015,0.014,0.004,-0.000,0.001,0.005,0.017,-0.019,0.000,
0.292,0.009,-0.022,0.024,0.004,-0.000,0.001,0.006,0.019,-0.019,0.000,
0.294,-0.010,-0.032,0.037,0.004,-0.000,0.001,0.008,0.018,-0.017,0.000,
0.296,-0.027,-0.039,0.047,0.004,-0.000,0.001,0.010,0.015,-0.014,0.000,
0.298,-0.035,-0.040,0.052,0.004,-0.000,0.001,0.012,0.010,-0.010,0.000,
0.300,-0.033,-0.035,0.048,0.004,-0.000,0.001,0.014,0.005,-0.006,0.000,
0.302,-0.023,-0.026,0.037,0.003,-0.000,0.001,0.014,0.001,-0.002,0.000,
0.304,-0.008,-0.015,0.024,0.003,-0.000,0.001,0.012,-0.001,0.002,0.000,
0.306,0.009,-0.005,0.013,0.003,-0.001,0.001,0.010,-0.002,0.004,0.000,
0.308,0.026,0.005,0.005,0.003,-0.001,0.001,0.007,-0.002,0.005,0.000,
0.310,0.041,0.011,0.000,0.003,-0.001,0.001,0.004,-0.001,0.006,0.000,
0.314,0.050,0.009,-0.005,0.004,-0.000,0.001,0.000,0.000,0.006,0.000,
0.316,0.051,-0.004,-0.010,0.004,-0.000,0.001,-0.004,0.001,0.004,0.000,
0.318,0.046,-0.019,-0.013,0.004,-0.000,0.001,-0.008,0.003,0.001,0.000,
0.320,0.039,-0.028,-0.012,0.004,-0.001,0.001,-0.010,0.005,-0.002,0.000,
0.322,0.030,-0.031,-0.008,0.004,-0.001,0.001,-0.009,0.008,-0.004,0.000,
0.324,0.019,-0.029,-0.002,0.004,-0.001,0.001,-0.008,0.010,-0.006,0.000,
