0.000,0.401,9.521,-0.397,0.000,0.000,0.000,-0.009,-0.106,0.007,0.000,
0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.006,-0.002,0.023,-0.003,0.000,0.000,0.000,-0.004,0.001,0.004,0.000,
0.008,-0.003,0.049,-0.007,-0.000,0.000,-0.000,-0.008,0.003,0.007,0.000,
0.010,-0.004,0.065,-0.012,-0.000,0.000,-0.000,-0.012,0.004,0.009,0.000,
0.012,-0.005,0.070,-0.016,-0.000,0.000,-0.000,-0.013,0.004,0.009,0.000,
0.014,-0.009,0.066,-0.022,-0.000,0.000,-0.000,-0.013,0.003,0.007,0.000,
0.016,-0.014,0.057,-0.031,-0.000,0.001,-0.000,-0.013,0.001,0.006,0.000,
0.018,-0.018,0.048,-0.041,-0.000,0.001,-0.000,-0.012,-0.000,0.005,0.000,
0.020,-0.022,0.038,-0.049,-0.000,0.001,-0.000,-0.011,-0.002,0.005,0.000,
0.022,-0.023,0.030,-0.054,-0.000,0.001,-0.000,-0.009,-0.004,0.005,0.000,
0.024,-0.023,0.028,-0.055,-0.000,0.001,-0.000,-0.007,-0.005,0.006,0.000,
0.031,-0.024,0.033,-0.052,-0.000,0.001,-0.001,-0.003,-0.006,0.006,6.000,
0.033,-0.027,0.043,-0.034,-0.000,0.001,-0.001,0.003,-0.006,0.006,0.000,
0.035,-0.028,0.052,-0.013,-0.000,0.001,-0.001,0.008,-0.006,0.004,0.000,
0.037,-0.024,0.055,0.003,-0.000,0.001,-0.001,0.010,-0.005,0.002,0.000,
0.039,-0.017,0.053,0.012,-0.000,0.001,-0.001,0.007,-0.005,-0.001,0.000,
0.041,-0.008,0.046,0.015,-0.000,0.001,-0.001,0.002,-0.004,-0.003,0.000,
0.043,-0.002,0.034,0.014,-0.001,0.002,-0.001,-0.003,-0.003,-0.005,1.000,
0.045,0.001,0.020,0.010,-0.001,0.002,-0.001,-0.007,-0.002,-0.005,0.000,
0.047,0.002,0.005,0.003,-0.001,0.002,-0.001,-0.009,-0.001,-0.005,0.000,
0.049,0.004,-0.005,-0.006,-0.001,0.002,-0.001,-0.010,0.000,-0.005,0.000,
0.051,0.008,-0.013,-0.014,-0.000,0.002,-0.001,-0.009,0.001,-0.003,0.000,
0.053,0.015,-0.019,-0.020,-0.000,0.002,-0.001,-0.007,0.001,-0.001,0.000,
0.057,0.023,-0.023,-0.021,-0.000,0.002,-0.001,-0.005,0.001,0.000,0.000,
0.059,0.030,-0.025,-0.015,-0.000,0.002,-0.001,-0.003,0.001,0.002,8.000,
0.061,0.032,-0.026,-0.004,-0.000,0.001,-0.001,-0.001,0.002,0.003,0.000,
0.063,0.031,-0.026,0.004,-0.000,0.001,-0.001,0.007,0.004,0.004,0.000,
0.065,0.031,-0.024,0.018,-0.000,0.001,-0.001,0.055,0.014,0.011,0.000,
0.067,-0.016,-0.010,0.062,-0.000,0.001,-0.001,0.160,0.024,0.016,0.000,
0.069,-0.199,0.131,0.126,-0.000,0.001,-0.001,0.304,0.022,0.011,0.000,
0.071,-0.422,0.350,0.169,-0.001,0.002,-0.000,0.451,-0.003,-0.003,0.000,
0.073,-0.668,0.677,0.162,-0.001,0.002,-0.000,0.556,-0.045,-0.020,0.000,
0.075,-0.891,1.089,0.108,-0.003,0.004,0.000,0.584,-0.082,-0.030,0.000,
0.077,-1.021,1.521,0.034,-0.005,0.006,0.000,0.531,-0.094,-0.030,0.000,
0.082,-1.025,1.901,-0.034,-0.007,0.009,0.001,0.427,-0.071,-0.022,0.000,
0.084,-0.857,2.294,-0.095,-0.009,0.013,0.000,0.309,-0.017,-0.003,0.000,
0.086,-0.629,2.592,-0.130,-0.010,0.017,0.000,0.224,0.026,0.015,0.000,
0.088,-0.420,2.769,-0.135,-0.012,0.022,0.000,0.176,0.033,0.026,0.000,
0.090,-0.257,2.845,-0.122,-0.012,0.028,-0.000,0.141,0.007,0.025,0.000,
0.092,-0.136,2.852,-0.107,-0.013,0.034,-0.000,0.098,-0.029,0.012,0.000,
0.094,-0.043,2.822,-0.103,-0.013,0.039,-0.001,0.048,-0.053,-0.004,0.000,
0.096,0.030,2.778,-0.113,-0.013,0.045,-0.001,0.004,-0.055,-0.014,0.000,
0.098,0.083,2.736,-0.128,-0.013,0.051,-0.001,-0.017,-0.038,-0.011,0.000,
0.100,0.115,2.709,-0.138,-0.013,0.056,-0.001,-0.017,-0.009,0.004,0.000,
0.102,0.129,2.694,-0.134,-0.013,0.061,-0.002,-0.010,0.018,0.021,0.000,
0.104,0.128,2.685,-0.118,-0.013,0.067,-0.002,-0.014,0.033,0.031,0.000,
0.108,0.121,2.673,-0.101,-0.012,0.072,-0.002,-0.035,0.032,0.025,0.000,
0.110,0.116,2.635,-0.086,-0.012,0.078,-0.002,-0.059,0.010,-0.000,0.000,
0.112,0.121,2.583,-0.069,-0.012,0.083,-0.003,-0.063,-0.016,-0.023,0.000,
0.114,0.134,2.537,-0.052,-0.012,0.088,-0.003,-0.046,-0.028,-0.030,0.000,
0.116,0.146,2.508,-0.036,-0.011,0.093,-0.003,-0.025,-0.019,-0.021,0.000,
0.118,0.148,2.495,-0.023,-0.011,0.098,-0.003,-0.010,0.005,-0.003,0.000,
0.120,0.135,2.493,-0.019,-0.011,0.103,-0.003,-0.005,0.030,0.009,0.000,
0.122,0.109,2.493,-0.021,-0.011,0.108,-0.003,-0.003,0.040,0.011,0.000,
