time,gyrx,gyry,gyrz,rol,pit,yaw,accx,accy,accz,vCmds
0.002,0.000,0.000,0.000,0.000,0.000,0.000,-2.895,-0.248,0.534,0.000,
0.005,1.686,-36.290,4.021,0.000,0.000,0.000,-4.066,-0.337,0.763,0.000,
0.007,3.922,-77.804,8.337,0.003,-0.073,0.008,-3.112,-0.233,0.595,0.000,
0.009,5.788,-106.251,10.993,0.011,-0.228,0.025,-2.595,-0.164,0.500,0.000,
0.011,6.961,-117.408,11.663,0.023,-0.441,0.047,-2.978,-0.171,0.570,0.000,
0.013,7.551,-115.956,11.000,0.037,-0.676,0.070,-3.297,-0.172,0.630,0.000,
0.015,7.849,-109.304,9.902,0.052,-0.907,0.092,-3.258,-0.139,0.624,0.000,
0.017,8.116,-103.324,9.033,0.068,-1.126,0.112,-3.202,-0.104,0.617,0.000,
0.019,8.495,-100.773,8.667,0.084,-1.333,0.130,-3.289,-0.080,0.642,0.000,
0.021,9.012,-101.719,8.770,0.101,-1.534,0.147,-3.402,-0.054,0.680,0.000,
0.023,9.625,-104.830,9.166,0.119,-1.738,0.165,-3.463,-0.020,0.714,0.000,
0.025,10.276,-108.582,9.683,0.138,-1.947,0.183,-3.506,0.013,0.745,9.000,
0.033,10.912,-111.958,10.217,0.159,-2.164,0.202,-3.710,0.089,0.840,8.000,
0.035,12.008,-116.731,11.346,0.180,-2.388,0.223,-3.820,0.126,0.882,8.000,
0.037,13.077,-121.217,12.608,0.204,-2.622,0.246,-3.805,0.125,0.864,8.000,
0.039,13.839,-124.650,13.726,0.231,-2.864,0.271,-3.806,0.126,0.853,9.000,
0.041,14.216,-127.022,14.626,0.258,-3.114,0.298,-3.847,0.131,0.858,8.000,
0.043,14.257,-128.699,15.350,0.287,-3.368,0.328,-3.870,0.130,0.856,8.000,
0.045,14.064,-130.079,15.974,0.315,-3.625,0.358,-3.857,0.121,0.844,8.000,
0.047,13.723,-131.399,16.562,0.343,-3.885,0.390,-3.833,0.103,0.842,9.000,
0.049,13.283,-132.689,17.145,0.371,-4.148,0.423,-3.820,0.069,0.855,8.000,
0.051,12.761,-133.845,17.726,0.397,-4.413,0.458,-3.817,0.024,0.879,8.000,
0.053,12.172,-134.733,18.285,0.423,-4.681,0.493,-3.817,-0.024,0.909,9.000,
0.055,11.537,-135.270,18.786,0.447,-4.951,0.530,-3.825,-0.067,0.936,8.000,
0.059,10.893,-135.449,19.196,0.470,-5.221,0.567,-3.886,-0.148,1.004,9.000,
0.061,10.008,-135.161,19.646,0.492,-5.492,0.606,-3.946,-0.183,1.056,8.000,
0.063,9.194,-134.598,20.038,0.512,-5.762,0.645,-3.988,-0.178,1.085,8.000,
0.065,8.598,-133.956,20.349,0.530,-6.031,0.685,-4.032,-0.187,1.126,9.000,
0.067,8.228,-133.365,20.600,0.548,-6.299,0.726,-4.080,-0.214,1.188,8.000,
0.069,8.024,-132.872,20.825,0.564,-6.566,0.767,-4.120,-0.241,1.257,9.000,
0.071,7.926,-132.468,21.050,0.580,-6.832,0.808,-4.147,-0.256,1.321,8.000,
0.073,7.898,-132.121,21.272,0.596,-7.097,0.851,-4.165,-0.260,1.379,9.000,
0.075,7.926,-131.797,21.466,0.612,-7.361,0.893,-4.176,-0.256,1.428,8.000,
0.077,7.999,-131.480,21.587,0.628,-7.625,0.936,-4.178,-0.243,1.463,9.000,
0.079,8.102,-131.158,21.603,0.644,-7.888,0.979,-4.174,-0.225,1.485,8.000,
0.084,8.220,-130.819,21.504,0.660,-8.150,1.022,-4.170,-0.188,1.507,9.000,
0.086,8.375,-130.258,21.178,0.676,-8.412,1.065,-4.161,-0.154,1.499,8.000,
0.088,8.502,-129.435,20.627,0.693,-8.672,1.108,-4.157,-0.143,1.470,9.000,
0.090,8.534,-128.477,19.986,0.710,-8.931,1.149,-4.157,-0.144,1.445,8.000,
0.092,8.439,-127.425,19.338,0.727,-9.188,1.189,-4.157,-0.141,1.422,9.000,
0.094,8.208,-126.257,18.707,0.744,-9.443,1.228,-4.156,-0.137,1.394,8.000,
0.096,7.843,-124.919,18.077,0.760,-9.695,1.265,-4.160,-0.142,1.368,8.000,
0.098,7.455,-123.702,17.560,0.776,-9.945,1.301,-4.177,-0.155,1.357,9.000,
0.100,6.862,-121.946,16.861,0.791,-10.193,1.336,-4.216,-0.172,1.365,8.000,
0.102,6.139,-119.799,16.030,0.805,-10.436,1.370,-4.270,-0.196,1.380,9.000,
0.104,5.506,-117.881,15.304,0.817,-10.676,1.402,-4.326,-0.228,1.397,8.000,
0.106,4.803,-115.550,14.466,0.828,-10.912,1.433,-4.382,-0.263,1.418,8.000,
0.110,4.120,-113.045,13.603,0.838,-11.143,1.462,-4.505,-0.332,1.470,9.000,
0.112,3.345,-109.648,12.451,0.846,-11.369,1.489,-4.602,-0.374,1.518,8.000,
0.114,2.687,-106.238,11.293,0.853,-11.588,1.514,-4.658,-0.382,1.553,9.000,
0.116,2.242,-103.298,10.289,0.858,-11.801,1.536,-4.725,-0.385,1.590,8.000,
0.118,2.006,-100.928,9.476,0.862,-12.007,1.557,-4.819,-0.389,1.637,8.000,
0.120,1.925,-99.015,8.814,0.866,-12.209,1.576,-4.921,-0.383,1.688,8.000,
0.122,1.927,-97.396,8.248,0.870,-12.407,1.594,-5.017,-0.362,1.742,9.000,
0.124,1.954,-95.963,7.743,0.874,-12.602,1.610,-5.108,-0.333,1.799,8.000,
0.126,1.979,-94.699,7.296,0.878,-12.794,1.626,-5.195,-0.302,1.856,8.000,
0.128,2.003,-93.641,6.928,0.882,-12.983,1.640,-5.272,-0.272,1.909,8.000,
0.130,2.052,-92.838,6.655,0.886,-13.171,1.654,-5.333,-0.242,1.959,8.000,
0.132,2.157,-92.308,6.476,0.890,-13.356,1.667,-5.377,-0.209,2.007,9.000,
0.137,2.346,-92.032,6.380,0.894,-13.541,1.680,-5.442,-0.142,2.081,8.000,
0.139,2.762,-91.966,6.358,0.899,-13.725,1.693,-5.487,-0.077,2.124,8.000,
0.141,3.349,-92.103,6.426,0.905,-13.909,1.706,-5.496,-0.046,2.123,8.000,
0.143,3.934,-92.360,6.555,0.911,-14.093,1.719,-5.503,-0.027,2.117,8.000,
0.145,4.417,-92.659,6.721,0.919,-14.278,1.732,-5.523,-0.007,2.124,8.000,
0.147,4.774,-92.951,6.908,0.928,-14.463,1.745,-5.545,0.007,2.129,8.000,
0.149,5.032,-93.221,7.111,0.938,-14.649,1.759,-5.559,0.011,2.125,9.000,
0.151,5.237,-93.477,7.329,0.948,-14.835,1.773,-5.568,0.010,2.119,8.000,
0.153,5.430,-93.733,7.557,0.958,-15.022,1.788,-5.574,0.010,2.115,8.000,
0.155,5.627,-93.996,7.782,0.969,-15.210,1.803,-5.573,0.007,2.112,8.000,
0.157,5.812,-94.261,7.987,0.980,-15.398,1.819,-5.564,0.000,2.106,8.000,
0.162,5.957,-94.508,8.158,0.992,-15.586,1.834,-5.541,-0.030,2.087,9.000,
0.164,6.005,-94.714,8.305,1.004,-15.775,1.851,-5.532,-0.061,2.076,8.000,
0.166,5.930,-94.782,8.384,1.016,-15.965,1.867,-5.538,-0.084,2.078,8.000,
0.168,5.745,-94.670,8.394,1.028,-16.154,1.884,-5.542,-0.112,2.086,8.000,
0.170,5.476,-94.375,8.354,1.039,-16.344,1.901,-5.543,-0.148,2.096,8.000,
