time,gyrx,gyry,gyrz,rol,pit,yaw,accx,accy,accz,vCmds
0.070,-1.640,7.404,-1.510,1.766,9.000,
0.072,-1.846,6.637,-1.518,1.793,0.000,
0.074,-1.995,5.918,-1.526,1.817,0.000,
0.076,-2.087,5.275,-1.534,1.838,1.000,
0.078,-2.123,4.721,-1.542,1.857,8.000,
0.080,-2.105,4.260,-1.551,1.874,0.000,
0.082,-2.034,3.882,-1.559,1.889,1.000,
0.084,-1.909,3.573,-1.567,1.903,0.000,
0.086,-1.731,3.320,-1.574,1.917,8.000,
0.088,-1.507,3.118,-1.580,1.929,1.000,
0.090,-1.254,2.965,-1.585,1.941,0.000,
0.092,-0.989,2.855,-1.589,1.953,9.000,
0.094,-0.717,2.786,-1.591,1.964,0.000,
0.096,-0.441,2.752,-1.593,1.975,0.000,
0.098,-0.159,2.748,-1.594,1.986,1.000,
0.100,0.121,2.772,-1.593,1.997,8.000,
0.102,0.392,2.821,-1.592,2.008,0.000,
0.104,0.649,2.892,-1.589,2.020,1.000,
0.106,0.888,2.984,-1.586,2.032,0.000,
0.108,1.111,3.089,-1.581,2.044,8.000,
0.110,1.317,3.201,-1.576,2.057,1.000,
0.112,1.511,3.314,-1.570,2.070,0.000,
0.114,1.694,3.427,-1.563,2.084,1.000,
0.116,1.870,3.538,-1.556,2.098,8.000,
0.118,2.033,3.644,-1.548,2.112,0.000,
0.120,2.176,3.743,-1.539,2.127,1.000,
0.122,2.292,3.829,-1.530,2.143,0.000,
0.124,2.376,3.897,-1.520,2.158,0.000,
0.126,2.429,3.945,-1.510,2.174,9.000,
0.128,2.453,3.976,-1.501,2.190,0.000,
0.130,2.447,3.991,-1.491,2.206,1.000,
0.132,2.414,3.992,-1.481,2.222,0.000,
0.134,2.354,3.979,-1.472,2.238,1.000,
0.136,2.268,3.953,-1.463,2.254,8.000,
0.138,2.158,3.917,-1.454,2.269,0.000,
0.140,2.030,3.872,-1.446,2.285,1.000,
0.142,1.891,3.822,-1.438,2.300,0.000,
0.144,1.752,3.771,-1.431,2.315,1.000,
0.146,1.620,3.720,-1.425,2.330,8.000,
0.148,1.499,3.671,-1.419,2.345,0.000,
0.150,1.392,3.623,-1.413,2.359,1.000,
0.152,1.300,3.573,-1.408,2.373,0.000,
0.154,1.224,3.518,-1.403,2.388,9.000,
0.156,1.162,3.456,-1.399,2.401,0.000,
0.158,1.113,3.390,-1.394,2.415,1.000,
0.160,1.074,3.322,-1.390,2.428,0.000,
0.162,1.044,3.256,-1.386,2.441,0.000,
0.165,1.022,3.190,-1.382,2.454,9.000,
