0.000,-1.116,0.118,-9.562,0.000,0.000,0.000,0.012,0.077,-0.157,0.000,
0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.005,-0.053,-0.037,-0.043,0.000,0.000,0.000,0.009,0.013,-0.000,0.000,
0.007,-0.087,-0.076,-0.131,-0.000,-0.000,-0.000,0.012,0.024,-0.000,0.000,
0.009,-0.085,-0.094,-0.218,-0.000,-0.000,-0.000,0.001,0.026,0.002,0.000,
0.011,-0.041,-0.079,-0.265,-0.000,-0.000,-0.001,-0.017,0.022,0.006,0.000,
0.013,0.016,-0.042,-0.264,-0.001,-0.001,-0.001,-0.036,0.015,0.010,0.000,
0.015,0.071,-0.001,-0.213,-0.001,-0.001,-0.002,-0.052,0.008,0.015,0.000,
0.017,0.107,0.017,-0.150,-0.000,-0.001,-0.002,-0.068,0.002,0.019,0.000,
0.019,0.125,0.002,-0.103,-0.000,-0.001,-0.003,-0.075,-0.000,0.024,0.000,
0.021,0.134,-0.036,-0.066,0.000,-0.001,-0.003,-0.073,0.000,0.032,0.000,
0.023,0.132,-0.073,-0.034,0.000,-0.001,-0.003,-0.063,0.005,0.043,0.000,
0.116,0.110,-0.111,0.002,0.001,-0.001,-0.003,-0.055,0.013,0.049,12.000,
0.118,0.194,-0.101,0.030,0.001,-0.001,-0.003,-0.026,0.035,0.048,0.000,
0.120,0.290,-0.063,0.040,0.001,-0.001,-0.003,0.001,0.054,0.047,1.000,
0.122,0.351,-0.022,0.039,0.002,-0.001,-0.003,0.017,0.065,0.048,0.000,
0.124,0.367,0.015,0.041,0.003,-0.001,-0.003,0.019,0.066,0.053,0.000,
0.126,0.353,0.039,0.048,0.003,-0.001,-0.003,0.016,0.061,0.058,0.000,
0.128,0.326,0.055,0.056,0.004,-0.001,-0.003,0.015,0.050,0.060,2.000,
0.130,0.290,0.064,0.060,0.005,-0.001,-0.002,0.014,0.032,0.057,0.000,
0.132,0.237,0.029,0.056,0.005,-0.001,-0.002,0.009,0.013,0.055,0.000,
0.134,0.186,-0.039,0.040,0.006,-0.001,-0.002,-0.002,0.003,0.056,0.000,
0.136,0.148,-0.129,0.012,0.006,-0.001,-0.002,-0.014,0.003,0.058,0.000,
0.138,0.118,-0.255,-0.036,0.006,-0.001,-0.002,-0.022,0.006,0.067,0.000,
0.233,0.095,-0.369,-0.080,0.007,-0.002,-0.002,-0.025,0.008,0.080,0.000,
0.235,0.037,-0.272,0.002,0.007,-0.003,-0.002,-0.033,0.014,0.068,0.000,
0.237,-0.004,-0.106,0.106,0.007,-0.003,-0.002,-0.036,0.018,0.050,0.000,
0.239,-0.014,0.029,0.171,0.007,-0.003,-0.002,-0.031,0.019,0.028,0.000,
0.241,0.004,0.101,0.181,0.007,-0.003,-0.002,-0.019,0.019,0.000,0.000,
0.243,0.047,0.132,0.142,0.007,-0.003,-0.001,-0.004,0.020,-0.028,0.000,
0.245,0.094,0.142,0.079,0.007,-0.003,-0.001,0.009,0.019,-0.051,0.000,
0.247,0.143,0.167,-0.008,0.007,-0.003,-0.001,0.020,0.014,-0.062,0.000,
0.249,0.180,0.206,-0.091,0.007,-0.002,-0.001,0.027,0.003,-0.060,0.000,
0.251,0.199,0.264,-0.165,0.008,-0.002,-0.001,0.027,-0.014,-0.048,0.000,
0.253,0.197,0.319,-0.214,0.008,-0.001,-0.002,0.020,-0.030,-0.036,0.000,
0.345,0.164,0.369,-0.233,0.009,-0.001,-0.002,0.006,-0.042,-0.026,0.000,
0.347,0.078,0.338,-0.049,0.009,0.000,-0.002,-0.020,-0.033,0.012,0.000,
0.349,0.019,0.293,0.160,0.009,0.001,-0.003,-0.037,-0.019,0.045,0.000,
0.351,0.017,0.265,0.305,0.009,0.001,-0.002,-0.033,-0.008,0.055,0.000,
0.353,0.053,0.258,0.360,0.009,0.002,-0.002,-0.013,-0.006,0.048,0.000,
0.355,0.100,0.261,0.348,0.009,0.002,-0.001,0.008,-0.013,0.035,0.000,
0.357,0.138,0.231,0.326,0.009,0.003,-0.000,0.015,-0.023,0.029,0.000,
0.359,0.155,0.168,0.314,0.010,0.003,0.000,0.006,-0.027,0.033,0.000,
0.361,0.158,0.066,0.300,0.010,0.004,0.001,-0.011,-0.022,0.045,0.000,
0.363,0.157,-0.033,0.272,0.010,0.004,0.002,-0.029,-0.010,0.058,0.000,
0.365,0.170,-0.096,0.214,0.011,0.004,0.002,-0.046,0.003,0.068,0.000,
0.367,0.194,-0.107,0.155,0.011,0.004,0.003,-0.061,0.013,0.070,0.000,
0.462,0.219,-0.060,0.122,0.011,0.003,0.003,-0.076,0.020,0.061,0.000,
0.464,0.259,0.166,0.076,0.012,0.003,0.003,-0.067,0.006,0.004,0.000,
0.466,0.319,0.411,0.033,0.012,0.004,0.003,-0.049,-0.015,-0.054,0.000,
0.468,0.377,0.581,0.005,0.013,0.004,0.003,-0.034,-0.029,-0.088,0.000,
0.470,0.422,0.671,-0.004,0.014,0.006,0.003,-0.028,-0.033,-0.088,0.000,
0.472,0.443,0.695,0.005,0.015,0.007,0.003,-0.026,-0.026,-0.061,0.000,
0.474,0.445,0.678,0.022,0.015,0.008,0.003,-0.025,-0.013,-0.020,0.000,
0.476,0.438,0.623,0.037,0.016,0.010,0.004,-0.026,0.003,0.020,0.000,
0.478,0.426,0.536,0.037,0.017,0.011,0.004,-0.027,0.018,0.049,0.000,
0.480,0.408,0.376,-0.001,0.018,0.012,0.004,-0.026,0.028,0.061,0.000,
0.482,0.393,0.199,-0.062,0.019,0.013,0.004,-0.020,0.033,0.060,0.000,
0.484,0.382,0.037,-0.132,0.020,0.013,0.004,-0.012,0.029,0.053,0.000,
0.491,0.376,-0.062,-0.179,0.020,0.013,0.003,-0.005,0.020,0.041,0.000,
0.493,0.371,-0.060,-0.149,0.021,0.013,0.003,-0.017,0.002,0.033,0.000,
0.495,0.360,0.001,-0.074,0.022,0.013,0.003,-0.035,-0.014,0.040,0.000,
0.497,0.328,0.046,0.017,0.023,0.013,0.002,-0.047,-0.022,0.063,0.000,
0.499,0.287,0.046,0.081,0.023,0.013,0.003,-0.051,-0.020,0.091,0.000,
0.501,0.244,-0.004,0.106,0.024,0.013,0.003,-0.047,-0.017,0.113,0.000,
0.503,0.214,-0.073,0.098,0.024,0.013,0.003,-0.035,-0.019,0.125,0.000,
0.505,0.194,-0.142,0.062,0.025,0.013,0.003,-0.022,-0.027,0.128,0.000,
0.507,0.184,-0.189,0.013,0.025,0.013,0.003,-0.019,-0.035,0.128,0.000,
0.509,0.172,-0.221,-0.058,0.026,0.012,0.003,-0.033,-0.036,0.134,0.000,
0.511,0.149,-0.252,-0.136,0.026,0.012,0.003,-0.062,-0.024,0.150,0.000,
0.514,0.093,-0.347,-0.235,0.026,0.011,0.003,-0.099,-0.004,0.172,0.000,
0.516,0.018,-0.498,-0.327,0.026,0.011,0.002,-0.126,0.015,0.193,0.000,
0.518,-0.066,-0.689,-0.405,0.026,0.010,0.002,-0.121,0.023,0.208,0.000,
0.520,-0.192,-0.984,-0.498,0.026,0.008,0.001,-0.081,0.016,0.204,0.000,
0.522,-0.361,-1.339,-0.593,0.026,0.006,-0.000,-0.025,-0.003,0.178,0.000,
0.524,-0.512,-1.615,-0.656,0.025,0.004,-0.001,0.023,-0.025,0.139,0.000,
0.526,-0.609,-1.747,-0.675,0.024,0.000,-0.003,0.053,-0.039,0.102,0.000,
0.528,-0.656,-1.717,-0.651,0.023,-0.003,-0.004,0.067,-0.037,0.081,0.000,
0.530,-0.656,-1.598,-0.602,0.022,-0.006,-0.005,0.067,-0.022,0.076,0.000,
0.532,-0.605,-1.429,-0.522,0.020,-0.010,-0.006,0.059,0.002,0.080,0.000,
0.534,-0.533,-1.267,-0.433,0.019,-0.013,-0.007,0.047,0.025,0.082,0.000,
0.536,-0.460,-1.082,-0.330,0.018,-0.015,-0.008,0.032,0.042,0.080,0.000,
0.538,-0.416,-0.916,-0.246,0.017,-0.017,-0.009,0.016,0.049,0.078,0.000,
0.540,-0.400,-0.759,-0.208,0.016,-0.019,-0.010,-0.003,0.042,0.071,0.000,
0.542,-0.387,-0.615,-0.230,0.015,-0.021,-0.010,-0.017,0.034,0.062,0.000,
0.544,-0.366,-0.506,-0.284,0.015,-0.022,-0.010,-0.025,0.035,0.053,0.000,
0.546,-0.329,-0.418,-0.343,0.014,-0.023,-0.011,-0.029,0.043,0.043,0.000,
0.548,-0.296,-0.365,-0.380,0.013,-0.024,-0.012,-0.030,0.049,0.035,0.000,
0.550,-0.283,-0.340,-0.388,0.013,-0.024,-0.012,-0.034,0.046,0.030,0.000,
0.552,-0.283,-0.334,-0.386,0.012,-0.025,-0.013,-0.039,0.035,0.030,0.000,
0.554,-0.277,-0.315,-0.396,0.012,-0.026,-0.014,-0.041,0.018,0.029,0.000,
0.556,-0.263,-0.277,-0.411,0.011,-0.026,-0.015,-0.034,-0.002,0.025,0.000,
0.558,-0.246,-0.225,-0.419,0.010,-0.027,-0.016,-0.017,-0.021,0.016,0.000,
0.560,-0.220,-0.150,-0.411,0.010,-0.027,-0.016,0.004,-0.033,0.002,0.000,
0.563,-0.188,-0.077,-0.393,0.010,-0.028,-0.017,0.022,-0.038,-0.016,0.000,
0.565,-0.130,-0.019,-0.373,0.009,-0.028,-0.018,0.035,-0.039,-0.032,0.000,
0.567,-0.067,0.010,-0.354,0.009,-0.028,-0.019,0.043,-0.036,-0.039,0.000,
0.569,-0.008,0.019,-0.328,0.009,-0.028,-0.019,0.044,-0.029,-0.036,0.000,
0.571,0.028,0.022,-0.295,0.009,-0.028,-0.020,0.041,-0.019,-0.026,0.000,
0.573,0.043,0.045,-0.233,0.009,-0.028,-0.021,0.033,-0.011,-0.018,0.000,
0.575,0.040,0.080,-0.160,0.009,-0.028,-0.021,0.024,-0.007,-0.024,0.000,
0.577,0.025,0.115,-0.092,0.009,-0.028,-0.021,0.017,-0.009,-0.045,0.000,
0.579,-0.003,0.139,-0.019,0.009,-0.027,-0.022,0.007,-0.009,-0.074,0.000,
0.581,-0.030,0.152,0.041,0.009,-0.027,-0.022,-0.003,-0.006,-0.097,0.000,
0.583,-0.048,0.174,0.099,0.009,-0.027,-0.022,-0.013,0.003,-0.110,0.000,
0.585,-0.056,0.201,0.152,0.009,-0.026,-0.021,-0.016,0.020,-0.112,0.000,
0.587,-0.063,0.228,0.214,0.009,-0.026,-0.021,-0.008,0.043,-0.106,0.000,
0.589,-0.077,0.228,0.271,0.009,-0.026,-0.021,0.004,0.061,-0.094,0.000,
0.591,-0.086,0.204,0.308,0.008,-0.025,-0.020,0.014,0.069,-0.075,0.000,
0.593,-0.074,0.167,0.318,0.008,-0.025,-0.020,0.018,0.066,-0.053,0.000,
0.595,-0.044,0.136,0.306,0.008,-0.024,-0.019,0.016,0.056,-0.030,0.000,
0.597,0.006,0.117,0.274,0.008,-0.024,-0.018,0.014,0.045,-0.008,0.000,
0.599,0.055,0.109,0.237,0.008,-0.024,-0.018,0.016,0.035,0.010,0.000,
0.601,0.079,0.084,0.188,0.008,-0.024,-0.017,0.024,0.025,0.024,0.000,
0.603,0.074,0.042,0.138,0.008,-0.023,-0.017,0.036,0.015,0.035,0.000,
0.605,0.037,-0.018,0.082,0.008,-0.023,-0.017,0.049,0.006,0.044,0.000,
0.607,-0.006,-0.072,0.030,0.009,-0.023,-0.016,0.058,0.003,0.049,0.000,
0.610,-0.036,-0.101,-0.039,0.009,-0.024,-0.016,0.056,0.005,0.046,0.000,
0.612,-0.047,-0.101,-0.107,0.008,-0.024,-0.016,0.049,0.010,0.030,0.000,
0.614,-0.044,-0.080,-0.161,0.008,-0.024,-0.017,0.043,0.019,0.001,0.000,
0.616,-0.038,-0.052,-0.196,0.008,-0.024,-0.017,0.043,0.027,-0.028,0.000,
0.618,-0.038,-0.024,-0.213,0.008,-0.024,-0.017,0.046,0.032,-0.046,0.000,
0.620,-0.055,0.014,-0.226,0.008,-0.024,-0.018,0.048,0.032,-0.050,0.000,
0.622,-0.079,0.059,-0.238,0.008,-0.024,-0.018,0.047,0.032,-0.044,0.000,
0.624,-0.099,0.116,-0.250,0.008,-0.024,-0.019,0.040,0.035,-0.032,0.000,
0.626,-0.106,0.161,-0.254,0.008,-0.024,-0.019,0.028,0.039,-0.021,0.000,
0.628,-0.094,0.168,-0.244,0.007,-0.024,-0.020,0.014,0.044,-0.012,0.000,
0.630,-0.069,0.146,-0.223,0.007,-0.023,-0.020,-0.004,0.045,-0.005,0.000,
0.632,-0.038,0.113,-0.182,0.007,-0.023,-0.021,-0.026,0.042,0.004,0.000,
0.634,-0.014,0.087,-0.134,0.007,-0.023,-0.021,-0.049,0.036,0.021,0.000,
0.636,-0.003,0.071,-0.086,0.007,-0.022,-0.021,-0.070,0.035,0.045,0.000,
0.638,-0.009,0.076,-0.046,0.007,-0.022,-0.022,-0.081,0.037,0.065,0.000,
0.640,-0.029,0.094,-0.021,0.007,-0.022,-0.022,-0.077,0.039,0.078,0.000,
0.642,-0.074,0.114,-0.011,0.007,-0.022,-0.022,-0.063,0.038,0.080,0.000,
0.644,-0.124,0.118,-0.017,0.007,-0.022,-0.022,-0.049,0.038,0.074,0.000,
0.646,-0.161,0.088,-0.036,0.007,-0.022,-0.022,-0.037,0.039,0.062,0.000,
0.648,-0.175,0.044,-0.051,0.006,-0.021,-0.022,-0.030,0.042,0.052,0.000,
0.650,-0.172,0.001,-0.057,0.006,-0.021,-0.022,-0.026,0.049,0.050,0.000,
0.652,-0.182,-0.066,-0.062,0.006,-0.021,-0.022,-0.025,0.054,0.053,0.000,
0.654,-0.208,-0.156,-0.070,0.005,-0.021,-0.022,-0.026,0.057,0.051,0.000,
0.657,-0.239,-0.314,-0.091,0.005,-0.022,-0.022,-0.026,0.054,0.041,0.000,
0.659,-0.259,-0.489,-0.118,0.004,-0.022,-0.022,-0.022,0.045,0.024,0.000,
0.661,-0.274,-0.673,-0.139,0.004,-0.023,-0.023,-0.014,0.032,0.005,0.000,
0.663,-0.292,-0.815,-0.148,0.003,-0.025,-0.023,-0.008,0.018,-0.016,0.000,
0.665,-0.316,-0.914,-0.138,0.003,-0.026,-0.023,-0.004,0.006,-0.037,0.000,
0.667,-0.331,-0.963,-0.112,0.002,-0.028,-0.024,-0.003,-0.005,-0.049,0.000,
0.669,-0.311,-0.980,-0.068,0.001,-0.030,-0.024,-0.002,-0.014,-0.050,0.000,
0.671,-0.261,-0.979,-0.029,0.001,-0.032,-0.024,-0.005,-0.018,-0.047,0.000,
0.673,-0.164,-0.943,-0.004,0.000,-0.034,-0.024,-0.010,-0.017,-0.044,0.000,
0.675,-0.058,-0.876,0.010,-0.000,-0.036,-0.024,-0.020,-0.015,-0.042,0.000,
0.677,0.051,-0.757,0.015,-0.000,-0.038,-0.024,-0.029,-0.016,-0.041,0.000,
0.679,0.135,-0.629,0.007,-0.000,-0.039,-0.024,-0.037,-0.020,-0.036,0.000,
0.681,0.188,-0.523,-0.012,0.000,-0.040,-0.024,-0.045,-0.025,-0.028,0.000,
0.683,0.236,-0.409,-0.043,0.001,-0.041,-0.024,-0.057,-0.032,-0.023,0.000,
0.685,0.270,-0.321,-0.072,0.001,-0.042,-0.024,-0.071,-0.036,-0.028,0.000,
0.687,0.286,-0.276,-0.090,0.002,-0.043,-0.024,-0.082,-0.035,-0.049,0.000,
0.689,0.290,-0.269,-0.101,0.002,-0.043,-0.024,-0.086,-0.031,-0.078,0.000,
0.691,0.283,-0.279,-0.107,0.003,-0.044,-0.025,-0.083,-0.025,-0.101,0.000,
0.693,0.265,-0.281,-0.106,0.003,-0.045,-0.025,-0.076,-0.022,-0.109,0.000,
0.695,0.238,-0.279,-0.093,0.004,-0.045,-0.025,-0.067,-0.022,-0.108,0.000,
0.697,0.185,-0.301,-0.069,0.004,-0.046,-0.025,-0.063,-0.025,-0.097,0.000,
0.699,0.126,-0.349,-0.047,0.005,-0.046,-0.025,-0.063,-0.029,-0.082,0.000,
0.701,0.062,-0.429,-0.032,0.005,-0.047,-0.025,-0.061,-0.027,-0.064,0.000,
0.704,0.010,-0.520,-0.027,0.005,-0.048,-0.025,-0.053,-0.019,-0.043,0.000,
0.706,-0.040,-0.660,-0.042,0.005,-0.049,-0.025,-0.041,-0.005,-0.017,0.000,
0.708,-0.080,-0.810,-0.064,0.005,-0.050,-0.026,-0.030,0.016,0.010,0.000,
0.710,-0.111,-0.963,-0.080,0.005,-0.052,-0.026,-0.023,0.041,0.028,0.000,
0.712,-0.128,-1.071,-0.086,0.005,-0.054,-0.026,-0.021,0.065,0.031,0.000,
0.714,-0.132,-1.121,-0.069,0.004,-0.056,-0.026,-0.019,0.085,0.021,0.000,
0.716,-0.128,-1.129,-0.039,0.004,-0.058,-0.026,-0.011,0.098,0.007,0.000,
0.718,-0.118,-1.129,-0.009,0.004,-0.060,-0.026,0.007,0.104,-0.007,0.000,
0.720,-0.096,-1.167,0.020,0.004,-0.063,-0.026,0.031,0.100,-0.016,0.000,
