time,gyrx,gyry,gyrz,rol,pit,yaw,accx,accy,accz,vCmds,,,,gforcex,gforcey,gforcez
0.037,0.002,0.001,-0.001,-0.431,-0.536,10.06,0,-0.001,0.001,-0.431,-0.536,10.06,0,-0.043934760448522,-0.054638124362895,1.02548419979613
0.038,0.002,0.001,-0.001,-0.436,-0.527,10.075,0,-0.001,0.001,-0.436,-0.527,10.075,0,-0.044444444444445,-0.053720693170235,1.02701325178389
0.039,0.002,0.001,-0.001,-0.45,-0.498,10.108,0,-0.001,0.001,-0.45,-0.498,10.108,0,-0.045871559633028,-0.050764525993884,1.03037716615698
0.04,0.002,0.001,-0.001,-0.455,-0.484,10.07,0,-0.001,0.001,-0.455,-0.484,10.07,0,-0.04638124362895,-0.049337410805301,1.02650356778797
0.041,0.002,0.001,-0.001,-0.431,-0.498,10.027,0,-0.001,0.001,-0.431,-0.498,10.027,0,-0.043934760448522,-0.050764525993884,1.02212028542304
0.042,0.002,0.001,-0.001,-0.417,-0.493,10.046,0,-0.001,0.001,-0.417,-0.493,10.046,0,-0.042507645259939,-0.050254841997961,1.02405708460754
0.043,0.002,0.001,-0.001,-0.436,-0.493,10.06,0,-0.001,0,-0.436,-0.493,10.06,0,-0.044444444444445,-0.050254841997961,1.02548419979613
0.044,0.002,0.001,-0.001,-0.445,-0.522,10.07,0,-0.001,0,-0.445,-0.522,10.07,0,-0.045361875637105,-0.053211009174312,1.02650356778797
0.045,0.002,0.001,-0.001,-0.426,-0.474,10.027,0,-0.001,0,-0.426,-0.474,10.027,0,-0.043425076452599,-0.048318042813456,1.02212028542304
0.046,0.002,0.001,-0.001,-0.431,-0.45,9.998,0,-0.001,0,-0.431,-0.45,9.998,0,-0.043934760448522,-0.045871559633028,1.01916411824669
0.047,0.002,0.001,0,-0.445,-0.493,10.032,0,-0.001,0,-0.445,-0.493,10.032,0,-0.045361875637105,-0.050254841997961,1.02262996941896
0.048,0.002,0.001,0,-0.464,-0.522,10.032,0,-0.001,0,-0.464,-0.522,10.032,0,-0.047298674821611,-0.053211009174312,1.02262996941896
0.049,0.002,0.001,0,-0.469,-0.536,10.041,0,-0.001,0,-0.469,-0.536,10.041,0,-0.047808358817533,-0.054638124362895,1.02354740061162
0.05,0.002,0.001,0,-0.431,-0.479,10.065,0,-0.001,0,-0.431,-0.479,10.065,0,-0.043934760448522,-0.048827726809378,1.02599388379205
0.051,0.002,0.001,0,-0.426,-0.484,10.08,0,-0.001,-0.001,-0.426,-0.484,10.08,0,-0.043425076452599,-0.049337410805301,1.02752293577982
0.052,0.002,0.001,0,-0.426,-0.484,10.08,0,-0.001,-0.001,-0.426,-0.484,10.08,0,-0.043425076452599,-0.049337410805301,1.02752293577982
0.053,0.002,0.001,0,-0.441,-0.508,10.051,0,-0.001,-0.001,-0.441,-0.508,10.051,0,-0.044954128440367,-0.051783893985729,1.02456676860347
0.054,0.002,0.001,0,-0.46,-0.532,10.065,0,-0.001,-0.001,-0.46,-0.532,10.065,0,-0.046890927624873,-0.054230377166157,1.02599388379205
