time,gyrx,gyry,gyrz,rol,pit,yaw,accx,accy,accz,vCmds
0.167,0.002,-0.004,0.001,0.000,0.000,0.000,0.200,0.392,-9.745,0.000,
0.169,0.001,-0.003,0.001,0.000,0.000,0.000,0.201,0.377,-9.754,0.000,
0.171,0.001,-0.001,0.002,0.000,0.000,0.000,0.200,0.357,-9.755,0.000,
0.173,0.000,-0.000,0.003,0.000,0.000,0.000,0.199,0.334,-9.751,0.000,
0.175,-0.001,0.001,0.004,0.000,0.000,0.000,0.196,0.315,-9.739,0.000,
0.180,-0.001,0.004,0.004,0.000,0.000,0.000,0.195,0.298,-9.736,0.000,
0.182,-0.001,0.005,0.005,0.000,0.000,0.000,0.182,0.292,-9.750,0.000,
0.184,-0.000,0.006,0.006,0.000,0.000,0.000,0.171,0.301,-9.761,0.000,
0.186,-0.000,0.008,0.006,0.000,0.000,0.000,0.164,0.310,-9.766,0.000,
0.188,-0.000,0.008,0.006,0.000,0.000,0.000,0.160,0.313,-9.761,0.000,
0.190,-0.001,0.008,0.006,0.000,0.000,0.000,0.151,0.312,-9.741,0.000,
0.192,-0.002,0.008,0.007,0.000,0.000,0.000,0.148,0.306,-9.721,0.000,
0.194,-0.003,0.007,0.007,0.000,0.000,0.000,0.157,0.313,-9.702,0.000,
0.196,-0.003,0.007,0.007,0.000,0.000,0.000,0.175,0.321,-9.686,0.000,
0.198,-0.003,0.007,0.006,0.000,0.000,0.000,0.193,0.326,-9.674,0.000,
0.200,-0.001,0.006,0.005,0.000,0.000,0.000,0.214,0.332,-9.657,0.000,
0.202,-0.001,0.006,0.004,0.000,0.000,0.000,0.224,0.340,-9.634,0.000,
0.206,0.001,0.008,0.004,0.000,0.000,0.000,0.221,0.355,-9.605,0.000,
0.208,0.002,0.009,0.005,0.000,0.000,0.000,0.221,0.361,-9.602,0.000,
0.210,0.002,0.009,0.005,0.000,0.000,0.000,0.223,0.361,-9.600,0.000,
0.212,0.003,0.010,0.005,0.000,0.000,0.000,0.228,0.358,-9.589,0.000,
0.214,0.003,0.011,0.005,0.000,0.000,0.000,0.236,0.348,-9.568,0.000,
0.216,0.003,0.013,0.004,0.000,0.000,0.000,0.241,0.337,-9.550,0.000,
0.218,0.003,0.015,0.004,0.000,0.000,0.000,0.242,0.328,-9.548,0.000,
0.220,0.003,0.016,0.003,0.000,0.000,0.000,0.239,0.318,-9.559,0.000,
0.222,0.002,0.017,0.003,0.000,0.000,0.000,0.233,0.318,-9.570,0.000,
0.224,0.001,0.018,0.004,0.000,0.001,0.000,0.223,0.320,-9.573,0.000,
0.226,-0.000,0.018,0.005,0.000,0.001,0.000,0.222,0.321,-9.572,0.000,
0.228,-0.002,0.019,0.006,0.000,0.001,0.000,0.222,0.316,-9.568,0.000,
0.233,-0.004,0.019,0.007,0.000,0.001,0.000,0.223,0.292,-9.594,0.000,
0.235,-0.005,0.019,0.007,0.000,0.001,0.000,0.229,0.282,-9.598,0.000,
0.237,-0.006,0.019,0.008,0.000,0.001,0.000,0.224,0.276,-9.598,0.000,
0.239,-0.006,0.020,0.008,0.000,0.001,0.000,0.220,0.274,-9.596,0.000,
0.241,-0.006,0.022,0.009,0.000,0.001,0.000,0.214,0.267,-9.599,0.000,
0.243,-0.005,0.023,0.010,0.000,0.001,0.000,0.211,0.261,-9.612,0.000,
0.245,-0.004,0.024,0.010,0.000,0.001,0.000,0.208,0.252,-9.619,0.000,
0.247,-0.004,0.024,0.010,0.000,0.001,0.000,0.208,0.240,-9.624,0.000,
0.249,-0.004,0.023,0.010,0.000,0.001,0.000,0.201,0.235,-9.625,0.000,
0.251,-0.004,0.023,0.010,0.000,0.001,0.000,0.192,0.246,-9.615,0.000,
0.253,-0.004,0.022,0.009,0.000,0.001,0.000,0.189,0.253,-9.596,0.000,
0.257,-0.004,0.022,0.008,0.000,0.001,0.001,0.192,0.268,-9.546,0.000,
0.259,-0.004,0.019,0.007,0.000,0.001,0.001,0.186,0.275,-9.539,0.000,
0.261,-0.004,0.017,0.006,0.000,0.001,0.001,0.174,0.280,-9.538,0.000,
0.263,-0.005,0.013,0.005,0.000,0.001,0.001,0.168,0.289,-9.541,0.000,
0.265,-0.005,0.012,0.004,0.000,0.001,0.001,0.168,0.296,-9.544,0.000,
0.267,-0.004,0.010,0.004,0.000,0.001,0.001,0.172,0.297,-9.556,0.000,
0.269,-0.004,0.010,0.004,0.000,0.001,0.001,0.180,0.295,-9.571,0.000,
0.271,-0.003,0.010,0.005,0.000,0.001,0.001,0.192,0.301,-9.581,0.000,
0.273,-0.003,0.010,0.006,0.000,0.001,0.001,0.202,0.311,-9.589,0.000,
0.275,-0.003,0.010,0.007,0.000,0.001,0.001,0.213,0.312,-9.598,0.000,
0.277,-0.003,0.009,0.008,0.000,0.001,0.001,0.221,0.312,-9.599,0.000,
0.279,-0.003,0.008,0.008,0.000,0.001,0.001,0.223,0.314,-9.601,0.000,
0.284,-0.002,0.008,0.008,0.000,0.001,0.001,0.215,0.319,-9.592,0.000,
0.286,-0.001,0.008,0.008,0.000,0.001,0.001,0.199,0.318,-9.577,0.000,
0.288,-0.000,0.008,0.009,0.000,0.001,0.001,0.182,0.323,-9.559,0.000,
0.290,0.000,0.008,0.010,0.000,0.001,0.001,0.162,0.339,-9.549,2.000,
0.292,0.001,0.008,0.011,0.000,0.001,0.001,0.145,0.362,-9.545,0.000,
0.294,0.001,0.008,0.012,0.000,0.002,0.001,0.128,0.380,-9.540,0.000,
0.296,-0.000,0.009,0.013,0.000,0.002,0.001,0.116,0.391,-9.535,0.000,
0.298,-0.001,0.009,0.013,0.000,0.002,0.001,0.116,0.395,-9.541,0.000,
0.300,-0.002,0.009,0.013,0.000,0.002,0.001,0.128,0.391,-9.560,0.000,
0.302,-0.002,0.009,0.012,0.000,0.002,0.001,0.145,0.388,-9.588,0.000,
0.304,-0.003,0.009,0.012,0.000,0.002,0.001,0.156,0.386,-9.612,0.000,
0.306,-0.004,0.009,0.012,0.000,0.002,0.001,0.161,0.388,-9.629,0.000,
0.310,-0.004,0.011,0.012,0.000,0.002,0.001,0.171,0.385,-9.635,0.000,
0.312,-0.003,0.011,0.012,0.000,0.002,0.001,0.173,0.375,-9.641,0.000,
0.314,-0.003,0.012,0.012,0.000,0.002,0.001,0.177,0.360,-9.654,0.000,
0.316,-0.002,0.012,0.012,0.000,0.002,0.001,0.180,0.355,-9.659,0.000,
0.318,-0.002,0.012,0.012,0.000,0.002,0.001,0.178,0.353,-9.665,0.000,
0.320,-0.001,0.012,0.012,0.000,0.002,0.001,0.169,0.354,-9.669,0.000,
0.322,-0.000,0.013,0.012,0.000,0.002,0.001,0.151,0.356,-9.676,0.000,
0.324,-0.000,0.013,0.012,0.000,0.002,0.001,0.133,0.354,-9.690,0.000,
0.326,-0.000,0.014,0.012,0.000,0.002,0.001,0.125,0.342,-9.694,0.000,
0.328,0.000,0.014,0.012,0.000,0.002,0.001,0.120,0.327,-9.695,0.000,
0.330,0.001,0.015,0.011,0.000,0.002,0.001,0.113,0.318,-9.695,0.000,
0.335,0.001,0.018,0.011,0.000,0.002,0.001,0.115,0.313,-9.711,0.000,
0.337,0.002,0.022,0.011,0.000,0.002,0.001,0.116,0.318,-9.722,0.000,
0.339,0.002,0.025,0.011,0.000,0.002,0.001,0.116,0.327,-9.734,0.000,
0.341,0.003,0.030,0.010,0.000,0.002,0.001,0.125,0.333,-9.740,0.000,
0.343,0.003,0.033,0.011,0.000,0.002,0.001,0.135,0.332,-9.737,0.000,
0.345,0.002,0.038,0.011,0.000,0.002,0.001,0.145,0.321,-9.727,0.000,
0.347,0.001,0.040,0.012,0.000,0.002,0.001,0.157,0.307,-9.713,0.000,
0.349,-0.001,0.043,0.013,0.000,0.002,0.001,0.161,0.298,-9.706,0.000,
0.351,-0.001,0.044,0.013,0.000,0.002,0.001,0.163,0.295,-9.717,0.000,
0.353,-0.002,0.045,0.013,0.000,0.003,0.001,0.165,0.295,-9.730,0.000,
0.355,-0.001,0.047,0.013,0.000,0.003,0.001,0.170,0.296,-9.743,0.000,
0.357,-0.001,0.047,0.013,0.000,0.003,0.001,0.184,0.290,-9.754,0.000,
0.361,0.000,0.049,0.012,0.000,0.003,0.001,0.213,0.263,-9.737,0.000,
0.363,0.002,0.051,0.011,0.000,0.003,0.002,0.216,0.251,-9.725,0.000,
0.365,0.002,0.052,0.011,0.000,0.003,0.002,0.214,0.248,-9.719,0.000,
0.367,0.003,0.054,0.011,0.000,0.003,0.002,0.210,0.242,-9.708,0.000,
0.369,0.004,0.054,0.011,0.000,0.003,0.002,0.202,0.236,-9.689,2.000,
0.371,0.003,0.056,0.011,0.000,0.003,0.002,0.189,0.247,-9.649,0.000,
0.373,0.003,0.056,0.011,0.000,0.003,0.002,0.172,0.272,-9.611,0.000,
0.375,0.000,0.057,0.012,0.000,0.004,0.002,0.166,0.305,-9.588,0.000,
0.377,-0.002,0.057,0.013,0.000,0.004,0.002,0.170,0.330,-9.578,0.000,
0.379,-0.004,0.057,0.014,0.000,0.004,0.002,0.177,0.343,-9.581,0.000,
0.381,-0.008,0.058,0.017,0.000,0.004,0.002,0.196,0.346,-9.593,0.000,
0.386,-0.016,0.061,0.021,0.000,0.004,0.002,0.231,0.326,-9.598,0.000,
0.388,-0.017,0.062,0.021,0.000,0.004,0.002,0.232,0.311,-9.602,0.000,
0.390,-0.020,0.065,0.021,0.000,0.004,0.002,0.235,0.292,-9.619,0.000,
0.392,-0.022,0.066,0.021,0.000,0.004,0.002,0.244,0.271,-9.640,0.000,
0.394,-0.023,0.068,0.021,0.000,0.005,0.002,0.254,0.256,-9.658,0.000,
0.396,-0.024,0.073,0.019,0.000,0.005,0.002,0.254,0.251,-9.686,0.000,
0.398,-0.025,0.076,0.017,0.000,0.005,0.002,0.240,0.250,-9.734,0.000,
0.400,-0.023,0.083,0.015,0.000,0.005,0.002,0.222,0.250,-9.787,2.000,
0.402,-0.021,0.087,0.014,-0.000,0.005,0.002,0.211,0.249,-9.832,0.000,
0.404,-0.017,0.096,0.012,-0.000,0.005,0.002,0.207,0.247,-9.861,0.000,
0.406,-0.014,0.101,0.011,-0.000,0.005,0.002,0.208,0.248,-9.877,0.000,
0.408,-0.008,0.113,0.011,-0.000,0.006,0.002,0.216,0.252,-9.899,0.000,
0.412,-0.002,0.125,0.011,-0.000,0.006,0.002,0.229,0.254,-9.967,0.000,
0.414,0.005,0.138,0.012,-0.000,0.006,0.002,0.227,0.258,-10.000,0.000,
0.416,0.007,0.144,0.012,-0.000,0.006,0.002,0.224,0.270,-10.051,0.000,
0.418,0.011,0.159,0.012,-0.000,0.007,0.002,0.220,0.289,-10.115,2.000,
0.420,0.013,0.167,0.013,-0.000,0.007,0.002,0.226,0.315,-10.173,0.000,
0.422,0.017,0.184,0.015,-0.000,0.007,0.002,0.239,0.344,-10.219,0.000,
0.424,0.018,0.193,0.016,-0.000,0.008,0.002,0.259,0.366,-10.260,0.000,
0.426,0.023,0.215,0.021,-0.000,0.008,0.002,0.295,0.392,-10.303,0.000,
0.428,0.025,0.226,0.024,0.000,0.009,0.002,0.338,0.418,-10.350,2.000,
