time,gyrx,gyry,gyrz,rol,pit,yaw,accx,accy,accz,vCmds
0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.005,-0.114,0.065,-0.058,0.000,0.000,0.000,-0.001,0.004,-0.018,0.000,
0.007,-0.216,0.130,-0.130,-0.000,0.000,-0.000,0.011,0.007,-0.034,0.000,
0.009,-0.229,0.180,-0.188,-0.001,0.000,-0.000,0.031,0.006,-0.038,0.000,
0.011,-0.168,0.211,-0.217,-0.001,0.001,-0.001,0.050,0.004,-0.028,0.000,
0.013,-0.051,0.232,-0.213,-0.001,0.001,-0.001,0.059,0.003,-0.009,0.000,
0.015,0.063,0.242,-0.179,-0.002,0.002,-0.002,0.058,0.005,0.012,0.000,
0.017,0.137,0.254,-0.116,-0.001,0.002,-0.002,0.054,0.005,0.025,0.000,
0.019,0.160,0.264,-0.052,-0.001,0.003,-0.002,0.051,0.005,0.027,0.000,
0.021,0.143,0.238,0.003,-0.001,0.003,-0.002,0.050,0.007,0.018,0.000,
0.023,0.106,0.167,0.041,-0.001,0.004,-0.002,0.049,0.010,0.002,0.000,
0.025,0.063,0.063,0.060,-0.000,0.004,-0.002,0.047,0.009,-0.010,3.000,
0.027,0.018,-0.073,0.070,-0.000,0.004,-0.002,0.045,0.007,-0.019,0.000,
0.029,-0.009,-0.192,0.076,-0.000,0.004,-0.002,0.043,0.004,-0.027,0.000,
0.031,-0.006,-0.288,0.092,-0.000,0.004,-0.002,0.040,-0.001,-0.034,8.000,
0.033,0.019,-0.339,0.117,-0.000,0.003,-0.002,0.034,-0.008,-0.035,0.000,
0.035,0.057,-0.337,0.153,-0.000,0.002,-0.001,0.025,-0.019,-0.034,0.000,
0.037,0.092,-0.298,0.184,-0.000,0.002,-0.001,0.016,-0.035,-0.030,0.000,
0.039,0.094,-0.249,0.198,0.000,0.001,-0.001,0.008,-0.053,-0.026,0.000,
0.041,0.061,-0.224,0.194,0.000,0.001,-0.000,0.003,-0.071,-0.023,0.000,
0.043,0.006,-0.260,0.183,0.000,0.000,0.000,0.002,-0.082,-0.021,0.000,
0.045,-0.042,-0.338,0.167,0.000,-0.000,0.000,0.005,-0.085,-0.020,0.000,
0.047,-0.059,-0.447,0.136,0.000,-0.001,0.001,0.010,-0.077,-0.024,0.000,
0.049,-0.046,-0.538,0.098,0.000,-0.002,0.001,0.020,-0.061,-0.037,0.000,
0.051,-0.019,-0.579,0.024,0.000,-0.003,0.001,0.036,-0.043,-0.056,0.000,
0.053,-0.001,-0.573,-0.065,0.000,-0.004,0.001,0.060,-0.028,-0.069,0.000,
0.055,-0.007,-0.533,-0.154,0.000,-0.005,0.001,0.090,-0.018,-0.066,0.000,
0.057,-0.033,-0.484,-0.205,0.000,-0.006,0.001,0.122,-0.006,-0.050,4.000,
0.059,-0.066,-0.443,-0.212,0.000,-0.007,0.000,0.147,0.009,-0.028,0.000,
