time,gyrx,gyry,gyrz,rol,pit,yaw,accx,accy,accz,vCmds
0.753,0.720,-0.519,0.405,0.101,-0.061,0.061,0.049,0.154,-0.003,0.000,
0.755,0.785,-0.596,0.464,0.102,-0.062,0.062,0.047,0.153,-0.006,0.000,
0.757,0.848,-0.694,0.520,0.104,-0.063,0.063,0.043,0.150,-0.008,0.000,
0.759,0.902,-0.812,0.573,0.106,-0.064,0.064,0.039,0.149,-0.010,0.000,
0.761,0.943,-0.943,0.623,0.108,-0.066,0.065,0.035,0.148,-0.014,0.000,
0.763,0.975,-1.086,0.666,0.109,-0.068,0.066,0.033,0.150,-0.017,0.000,
0.765,0.997,-1.237,0.695,0.111,-0.070,0.068,0.033,0.155,-0.019,0.000,
0.767,1.009,-1.387,0.706,0.113,-0.072,0.069,0.035,0.164,-0.019,0.000,
0.769,1.001,-1.524,0.700,0.115,-0.075,0.070,0.037,0.177,-0.019,0.000,
0.771,0.966,-1.639,0.682,0.117,-0.078,0.072,0.040,0.192,-0.020,8.000,
0.773,0.902,-1.725,0.654,0.119,-0.081,0.073,0.043,0.207,-0.023,0.000,
0.775,0.814,-1.786,0.619,0.121,-0.085,0.074,0.046,0.223,-0.028,0.000,
0.777,0.704,-1.822,0.579,0.123,-0.088,0.076,0.051,0.237,-0.035,0.000,
0.779,0.574,-1.837,0.538,0.124,-0.092,0.077,0.057,0.249,-0.040,0.000,
0.781,0.430,-1.832,0.498,0.125,-0.096,0.078,0.064,0.258,-0.043,0.000,
0.783,0.277,-1.811,0.459,0.126,-0.099,0.079,0.071,0.263,-0.045,0.000,
0.785,0.124,-1.776,0.421,0.127,-0.103,0.080,0.076,0.263,-0.045,0.000,
0.787,-0.021,-1.732,0.387,0.127,-0.107,0.081,0.082,0.259,-0.044,0.000,
0.789,-0.152,-1.681,0.359,0.127,-0.110,0.081,0.087,0.250,-0.043,0.000,
0.791,-0.266,-1.630,0.339,0.127,-0.113,0.082,0.092,0.237,-0.041,0.000,
0.793,-0.363,-1.587,0.331,0.126,-0.117,0.083,0.095,0.224,-0.038,0.000,
0.795,-0.442,-1.557,0.336,0.125,-0.120,0.084,0.096,0.211,-0.033,0.000,
0.797,-0.504,-1.537,0.348,0.124,-0.123,0.084,0.095,0.200,-0.027,0.000,
0.799,-0.547,-1.521,0.360,0.123,-0.126,0.085,0.093,0.191,-0.019,0.000,
0.801,-0.570,-1.504,0.368,0.122,-0.129,0.086,0.091,0.186,-0.011,0.000,
0.803,-0.574,-1.480,0.368,0.121,-0.132,0.086,0.088,0.182,-0.002,0.000,
0.805,-0.565,-1.453,0.359,0.120,-0.135,0.087,0.085,0.181,0.009,0.000,
0.807,-0.546,-1.424,0.339,0.119,-0.138,0.088,0.081,0.179,0.021,0.000,
0.809,-0.517,-1.391,0.309,0.118,-0.141,0.089,0.077,0.177,0.033,0.000,
0.811,-0.474,-1.353,0.270,0.117,-0.144,0.089,0.072,0.175,0.045,1.000,
0.813,-0.415,-1.308,0.222,0.116,-0.146,0.090,0.067,0.173,0.055,0.000,
0.815,-0.337,-1.260,0.167,0.115,-0.149,0.090,0.064,0.170,0.064,0.000,
0.817,-0.239,-1.215,0.107,0.114,-0.151,0.090,0.062,0.166,0.069,0.000,
0.819,-0.125,-1.178,0.046,0.114,-0.154,0.091,0.061,0.161,0.072,0.000,
0.821,0.004,-1.148,-0.009,0.114,-0.156,0.091,0.062,0.157,0.071,0.000,
0.823,0.150,-1.122,-0.052,0.114,-0.159,0.091,0.063,0.153,0.070,0.000,
0.825,0.308,-1.101,-0.078,0.114,-0.161,0.091,0.063,0.150,0.068,0.000,
0.827,0.481,-1.085,-0.083,0.115,-0.163,0.090,0.063,0.147,0.066,0.000,
0.829,0.668,-1.074,-0.072,0.116,-0.165,0.090,0.063,0.145,0.064,0.000,
0.831,0.863,-1.063,-0.049,0.117,-0.167,0.090,0.062,0.143,0.063,0.000,
0.833,1.062,-1.047,-0.018,0.119,-0.169,0.090,0.061,0.141,0.060,8.000,
0.835,1.263,-1.024,0.021,0.121,-0.172,0.090,0.061,0.137,0.054,0.000,
0.837,1.466,-0.998,0.063,0.123,-0.174,0.090,0.061,0.132,0.047,0.000,
0.839,1.673,-0.977,0.110,0.126,-0.176,0.090,0.063,0.127,0.037,0.000,
0.841,1.884,-0.967,0.161,0.130,-0.178,0.090,0.064,0.123,0.028,0.000,
0.843,2.094,-0.970,0.209,0.133,-0.179,0.091,0.065,0.121,0.021,0.000,
0.845,2.298,-0.988,0.243,0.137,-0.181,0.091,0.066,0.124,0.017,0.000,
0.847,2.490,-1.020,0.261,0.142,-0.183,0.092,0.067,0.130,0.016,0.000,
0.849,2.665,-1.062,0.264,0.147,-0.185,0.092,0.069,0.139,0.017,0.000,
0.851,2.819,-1.112,0.256,0.152,-0.188,0.093,0.073,0.149,0.021,0.000,
0.853,2.955,-1.167,0.242,0.158,-0.190,0.093,0.077,0.159,0.025,0.000,
0.855,3.072,-1.222,0.226,0.164,-0.192,0.094,0.082,0.168,0.030,0.000,
0.857,3.175,-1.273,0.210,0.170,-0.195,0.094,0.085,0.174,0.034,0.000,
0.859,3.268,-1.318,0.191,0.176,-0.197,0.095,0.087,0.179,0.039,0.000,
0.861,3.352,-1.356,0.167,0.183,-0.200,0.095,0.089,0.185,0.044,0.000,
0.863,3.418,-1.387,0.136,0.190,-0.202,0.095,0.090,0.192,0.048,0.000,
0.865,3.459,-1.410,0.096,0.197,-0.205,0.096,0.094,0.202,0.048,0.000,
0.867,3.466,-1.422,0.046,0.203,-0.208,0.096,0.100,0.214,0.046,0.000,
0.869,3.432,-1.418,-0.010,0.210,-0.211,0.096,0.108,0.228,0.040,0.000,
0.871,3.351,-1.399,-0.063,0.217,-0.214,0.096,0.115,0.241,0.032,0.000,
0.873,3.226,-1.368,-0.104,0.224,-0.217,0.096,0.119,0.253,0.024,0.000,
0.875,3.067,-1.326,-0.133,0.230,-0.219,0.095,0.121,0.261,0.020,0.000,
0.877,2.891,-1.275,-0.155,0.237,-0.222,0.095,0.121,0.267,0.021,0.000,
0.879,2.717,-1.213,-0.171,0.242,-0.224,0.095,0.120,0.269,0.027,0.000,
0.881,2.558,-1.143,-0.185,0.248,-0.227,0.095,0.119,0.266,0.035,0.000,
0.883,2.417,-1.068,-0.200,0.253,-0.229,0.094,0.119,0.259,0.044,0.000,
0.885,2.296,-0.992,-0.219,0.258,-0.231,0.094,0.119,0.249,0.053,0.000,
0.887,2.191,-0.920,-0.241,0.262,-0.233,0.093,0.118,0.238,0.061,0.000,
0.889,2.095,-0.855,-0.268,0.267,-0.235,0.093,0.115,0.228,0.067,0.000,
0.891,2.006,-0.802,-0.295,0.271,-0.237,0.092,0.111,0.221,0.068,0.000,
0.893,1.923,-0.768,-0.323,0.275,-0.238,0.092,0.107,0.218,0.066,0.000,
0.895,1.845,-0.758,-0.356,0.279,-0.240,0.091,0.103,0.218,0.062,0.000,
0.897,1.769,-0.773,-0.393,0.282,-0.241,0.090,0.097,0.222,0.055,0.000,
0.899,1.692,-0.810,-0.430,0.286,-0.243,0.090,0.091,0.226,0.047,0.000,
0.901,1.614,-0.863,-0.463,0.289,-0.245,0.089,0.084,0.232,0.040,0.000,
0.903,1.536,-0.924,-0.493,0.293,-0.246,0.088,0.078,0.238,0.034,0.000,
0.905,1.461,-0.985,-0.520,0.296,-0.248,0.087,0.072,0.243,0.029,0.000,
0.907,1.392,-1.035,-0.541,0.299,-0.250,0.086,0.069,0.246,0.025,0.000,
0.909,1.329,-1.066,-0.553,0.301,-0.252,0.085,0.069,0.249,0.020,0.000,
0.911,1.273,-1.076,-0.552,0.304,-0.254,0.084,0.071,0.251,0.014,0.000,
0.913,1.220,-1.065,-0.539,0.307,-0.257,0.083,0.075,0.253,0.006,0.000,
0.915,1.170,-1.038,-0.519,0.309,-0.259,0.081,0.077,0.255,-0.004,8.000,
0.917,1.125,-0.999,-0.493,0.311,-0.261,0.080,0.078,0.257,-0.014,0.000,
0.919,1.086,-0.953,-0.468,0.314,-0.263,0.079,0.077,0.259,-0.024,0.000,
0.921,1.053,-0.904,-0.448,0.316,-0.265,0.078,0.075,0.261,-0.033,0.000,
0.923,1.024,-0.851,-0.434,0.318,-0.266,0.078,0.072,0.263,-0.041,0.000,
0.925,0.996,-0.795,-0.421,0.320,-0.268,0.077,0.070,0.264,-0.046,0.000,
0.927,0.965,-0.728,-0.406,0.322,-0.270,0.076,0.068,0.264,-0.046,0.000,
0.929,0.932,-0.651,-0.391,0.324,-0.271,0.075,0.067,0.261,-0.042,0.000,
0.931,0.902,-0.569,-0.380,0.326,-0.273,0.074,0.066,0.257,-0.035,0.000,
0.933,0.881,-0.490,-0.375,0.327,-0.274,0.074,0.066,0.251,-0.026,0.000,
0.935,0.872,-0.419,-0.374,0.329,-0.275,0.073,0.067,0.243,-0.016,0.000,
