time,gyrx,gyry,gyrz,rol,pit,yaw,accx,accy,accz,vCmds
0.738,-3.310,-2.576,-0.114,-0.101,-0.120,-0.046,-0.141,0.194,-0.049,0.000,
0.740,-3.305,-2.568,0.077,-0.107,-0.126,-0.046,-0.164,0.203,-0.057,0.000,
0.742,-3.270,-2.549,0.266,-0.114,-0.131,-0.046,-0.182,0.206,-0.060,0.000,
0.744,-3.237,-2.553,0.431,-0.121,-0.136,-0.046,-0.191,0.199,-0.068,0.000,
0.746,-3.220,-2.631,0.604,-0.127,-0.141,-0.045,-0.188,0.180,-0.093,0.000,
0.748,-3.228,-2.751,0.802,-0.134,-0.146,-0.043,-0.179,0.151,-0.137,0.000,
0.750,-3.246,-2.830,0.978,-0.140,-0.152,-0.042,-0.162,0.116,-0.197,0.000,
0.752,-3.257,-2.815,1.117,-0.146,-0.157,-0.040,-0.133,0.083,-0.264,0.000,
0.754,-3.228,-2.603,1.254,-0.153,-0.163,-0.038,-0.098,0.054,-0.328,0.000,
0.756,-3.167,-2.270,1.369,-0.159,-0.168,-0.035,-0.066,0.033,-0.381,0.000,
0.758,-3.072,-1.757,1.488,-0.166,-0.173,-0.032,-0.043,0.019,-0.418,0.000,
0.760,-2.987,-1.209,1.580,-0.172,-0.176,-0.029,-0.034,0.004,-0.434,0.000,
0.762,-2.955,-0.552,1.630,-0.178,-0.179,-0.026,-0.033,-0.013,-0.431,0.000,
0.764,-2.989,0.058,1.628,-0.184,-0.180,-0.023,-0.026,-0.024,-0.412,0.000,
0.766,-3.135,0.703,1.583,-0.190,-0.180,-0.020,-0.006,-0.025,-0.383,0.000,
0.768,-3.340,1.245,1.532,-0.196,-0.178,-0.017,0.022,-0.019,-0.353,2.000,
0.770,-3.616,1.765,1.512,-0.203,-0.176,-0.014,0.047,-0.013,-0.329,0.000,
0.772,-3.879,2.183,1.529,-0.210,-0.172,-0.011,0.064,-0.016,-0.305,0.000,
0.774,-4.146,2.590,1.584,-0.218,-0.168,-0.007,0.069,-0.035,-0.280,0.000,
0.776,-4.368,2.919,1.638,-0.226,-0.163,-0.004,0.066,-0.064,-0.254,0.000,
0.778,-4.546,3.153,1.658,-0.235,-0.157,-0.001,0.057,-0.093,-0.226,0.000,
0.780,-4.805,3.342,1.583,-0.244,-0.151,0.002,0.042,-0.117,-0.193,0.000,
0.782,-5.116,3.462,1.435,-0.253,-0.144,0.005,0.024,-0.135,-0.154,0.000,
0.784,-5.604,3.526,1.157,-0.264,-0.137,0.008,0.003,-0.150,-0.112,0.000,
0.786,-6.146,3.538,0.820,-0.275,-0.130,0.011,-0.022,-0.162,-0.063,0.000,
0.788,-6.849,3.507,0.350,-0.287,-0.123,0.012,-0.050,-0.170,-0.007,0.000,
0.790,-7.550,3.446,-0.133,-0.301,-0.116,0.013,-0.067,-0.161,0.052,0.000,
0.792,-8.369,3.333,-0.696,-0.316,-0.109,0.013,-0.051,-0.126,0.099,0.000,
0.794,-9.116,3.204,-1.197,-0.333,-0.102,0.011,0.006,-0.061,0.116,0.000,
0.796,-9.871,3.051,-1.649,-0.351,-0.096,0.009,0.086,0.023,0.099,0.000,
