time,gyrx,gyry,gyrz,rol,pit,yaw,accx,accy,accz,vCmds
0.126,0.596,2.862,-0.014,0.001,-0.091,-0.039,-0.074,-0.075,-0.101,0.000,
0.128,0.608,2.882,-0.004,0.002,-0.086,-0.039,-0.056,-0.082,-0.091,0.000,
0.130,0.626,2.912,0.042,0.003,-0.080,-0.039,-0.044,-0.086,-0.057,0.000,
0.132,0.625,2.923,0.086,0.004,-0.074,-0.039,-0.038,-0.074,-0.013,0.000,
0.134,0.614,2.927,0.229,0.006,-0.068,-0.039,-0.030,-0.053,0.019,0.000,
0.136,0.612,2.915,0.318,0.007,-0.062,-0.038,-0.017,-0.036,0.046,0.000,
0.138,0.594,2.841,0.491,0.008,-0.057,-0.038,-0.004,-0.021,0.061,0.000,
0.140,0.572,2.777,0.558,0.009,-0.051,-0.037,0.006,-0.006,0.056,0.000,
0.142,0.505,2.571,0.635,0.010,-0.045,-0.036,0.009,0.009,0.048,2.000,
0.144,0.474,2.423,0.635,0.011,-0.040,-0.034,0.006,0.020,0.050,0.000,
0.146,0.442,2.078,0.557,0.012,-0.035,-0.033,0.004,0.027,0.052,0.000,
0.148,0.434,1.883,0.497,0.013,-0.031,-0.032,0.011,0.032,0.056,0.000,
0.150,0.425,1.679,0.438,0.014,-0.027,-0.031,0.026,0.038,0.062,0.000,
0.152,0.415,1.279,0.339,0.015,-0.024,-0.030,0.045,0.043,0.070,0.000,
0.154,0.404,1.088,0.295,0.016,-0.022,-0.029,0.061,0.055,0.070,0.000,
0.156,0.323,0.757,0.236,0.017,-0.019,-0.029,0.072,0.069,0.061,0.000,
0.158,0.259,0.625,0.219,0.017,-0.018,-0.028,0.086,0.081,0.048,0.000,
0.160,0.102,0.443,0.226,0.018,-0.017,-0.028,0.098,0.088,0.041,0.000,
0.162,0.015,0.412,0.276,0.018,-0.016,-0.027,0.102,0.085,0.036,0.000,
0.164,-0.112,0.467,0.433,0.018,-0.015,-0.027,0.097,0.070,0.037,0.000,
0.166,-0.145,0.547,0.505,0.018,-0.014,-0.026,0.080,0.058,0.046,0.000,
0.168,-0.161,0.785,0.649,0.017,-0.013,-0.025,0.052,0.055,0.058,0.000,
0.170,-0.147,0.930,0.738,0.017,-0.011,-0.024,0.018,0.056,0.069,0.000,
0.172,-0.122,1.081,0.825,0.017,-0.009,-0.022,-0.015,0.059,0.076,0.000,
0.174,-0.070,1.355,0.942,0.017,-0.007,-0.021,-0.044,0.057,0.080,0.000,
0.176,-0.010,1.537,0.937,0.016,-0.005,-0.019,-0.064,0.051,0.088,0.000,
0.178,0.020,1.593,0.896,0.016,-0.001,-0.017,-0.074,0.045,0.092,0.000,
0.180,0.042,1.621,0.832,0.016,0.002,-0.015,-0.079,0.028,0.083,0.000,
0.182,0.074,1.599,0.679,0.017,0.005,-0.013,-0.079,0.006,0.062,0.000,
0.184,0.095,1.568,0.606,0.017,0.008,-0.012,-0.078,-0.014,0.042,0.000,
0.186,0.128,1.510,0.479,0.017,0.011,-0.011,-0.077,-0.030,0.017,0.000,
0.188,0.146,1.491,0.420,0.017,0.014,-0.010,-0.071,-0.038,-0.015,0.000,
0.190,0.204,1.472,0.322,0.017,0.017,-0.009,-0.059,-0.039,-0.036,0.000,
0.192,0.245,1.468,0.281,0.018,0.020,-0.008,-0.041,-0.027,-0.055,0.000,
0.194,0.288,1.468,0.238,0.018,0.023,-0.008,-0.020,-0.004,-0.075,0.000,
0.196,0.362,1.490,0.177,0.019,0.026,-0.007,0.007,0.024,-0.084,0.000,
0.198,0.388,1.516,0.176,0.020,0.029,-0.007,0.030,0.048,-0.079,0.000,
0.200,0.392,1.592,0.234,0.020,0.032,-0.007,0.050,0.068,-0.067,0.000,
0.202,0.364,1.637,0.293,0.021,0.035,-0.006,0.062,0.070,-0.044,0.000,
0.204,0.317,1.730,0.476,0.022,0.039,-0.006,0.074,0.056,-0.023,0.000,
0.206,0.309,1.767,0.573,0.023,0.042,-0.005,0.075,0.041,-0.011,0.000,
0.208,0.320,1.792,0.704,0.023,0.046,-0.004,0.066,0.036,0.010,2.000,
0.210,0.341,1.769,0.728,0.024,0.049,-0.002,0.062,0.027,0.042,0.000,
0.212,0.391,1.658,0.721,0.025,0.053,-0.001,0.069,0.012,0.070,0.000,
0.214,0.415,1.573,0.688,0.025,0.056,0.001,0.070,-0.003,0.102,0.000,
0.216,0.459,1.330,0.547,0.026,0.059,0.002,0.055,-0.015,0.128,0.000,
0.218,0.473,1.182,0.455,0.027,0.062,0.003,0.038,-0.026,0.140,0.000,
0.220,0.479,1.023,0.352,0.028,0.064,0.004,0.029,-0.037,0.148,0.000,
0.222,0.474,0.711,0.107,0.029,0.066,0.005,0.035,-0.045,0.143,0.000,
0.224,0.453,0.570,-0.010,0.030,0.068,0.005,0.053,-0.043,0.127,0.000,
0.226,0.369,0.337,-0.195,0.031,0.069,0.005,0.064,-0.036,0.111,0.000,
0.228,0.322,0.262,-0.264,0.032,0.069,0.005,0.066,-0.029,0.093,0.000,
