time,gyrx,gyry,gyrz,rol,pit,yaw,accx,accy,accz,vCmds
0.002,0.000,1679930687488.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.005,-0.082,1882866188288.000,0.035,0.000,3359861504.000,0.000,0.001,-0.006,-0.010,0.000,
0.007,-0.157,1244843081728.000,0.070,-0.000,7125594112.000,0.000,0.001,-0.012,-0.021,0.000,
0.009,-0.186,425197502464.000,0.089,-0.000,9615280128.000,0.000,0.000,-0.016,-0.028,0.000,
0.011,-0.168,-164761845760.000,0.094,-0.001,10465675264.000,0.000,-0.000,-0.016,-0.028,0.000,
0.013,-0.120,-403719979008.000,0.091,-0.001,10136152064.000,0.001,-0.001,-0.016,-0.024,0.000,
0.015,-0.064,-367606693888.000,0.084,-0.001,9328711680.000,0.001,-0.000,-0.015,-0.017,0.000,
0.017,-0.015,-204023496704.000,0.075,-0.002,8593498112.000,0.001,0.001,-0.014,-0.010,0.000,
0.019,0.022,-39284445184.000,0.067,-0.002,8185451008.000,0.001,0.003,-0.016,-0.004,0.000,
0.021,0.049,61079629824.000,0.061,-0.002,8106882048.000,0.001,0.006,-0.019,0.001,0.000,
0.023,0.070,88696766464.000,0.058,-0.001,8229041664.000,0.001,0.010,-0.021,0.005,0.000,
0.025,0.090,67944079360.000,0.058,-0.001,8406434816.000,0.001,0.014,-0.023,0.009,3.000,
0.027,0.112,30456567808.000,0.060,-0.001,8542323200.000,0.002,0.019,-0.024,0.011,2.000,
0.029,0.136,-867982016.000,0.064,-0.001,8603236352.000,0.002,0.024,-0.024,0.014,2.000,
0.031,0.162,-16663570432.000,0.068,-0.001,8601500672.000,0.002,0.028,-0.022,0.015,2.000,
0.033,0.187,-18229358592.000,0.074,-0.000,8568173056.000,0.002,0.031,-0.019,0.016,2.000,
0.035,0.206,-11846660096.000,0.081,0.000,8531714560.000,0.002,0.035,-0.016,0.017,8.000,
0.037,0.217,-3886262528.000,0.083,0.000,8508021248.000,0.002,0.039,-0.014,0.019,8.000,
0.039,0.217,1747486848.000,0.083,0.001,8500248576.000,0.002,0.042,-0.013,0.021,8.000,
0.041,0.208,3960723456.000,0.086,0.001,8503743488.000,0.003,0.044,-0.012,0.023,8.000,
0.043,0.192,3538901248.000,0.097,0.002,8511665152.000,0.003,0.047,-0.012,0.024,2.000,
0.045,0.170,1925899008.000,0.119,0.002,8518743040.000,0.003,0.049,-0.011,0.023,2.000,
0.047,0.138,335362208.000,0.148,0.002,8522594816.000,0.003,0.050,-0.009,0.021,2.000,
