time,gyrx,gyry,gyrz,rol,pit,yaw,accx,accy,accz,vCmds
0.002,-0.148,0.134,-0.031,0.000,0.000,0.000,0.031,0.003,0.043,0.000,
0.004,-0.178,0.116,-0.037,-0.000,0.000,-0.000,0.041,0.006,0.042,0.000,
0.006,-0.186,0.100,-0.039,-0.001,0.001,-0.000,0.048,0.006,0.036,0.000,
0.008,-0.181,0.107,-0.030,-0.001,0.001,-0.000,0.062,0.009,0.023,0.000,
0.010,-0.176,0.149,-0.019,-0.001,0.001,-0.000,0.076,0.011,0.003,0.000,
0.012,-0.190,0.170,-0.016,-0.002,0.001,-0.000,0.079,0.009,-0.019,0.000,
0.014,-0.255,0.107,0.002,-0.002,0.002,-0.000,0.070,0.012,-0.035,0.000,
0.016,-0.294,0.027,0.010,-0.003,0.002,-0.000,0.066,0.018,-0.053,0.000,
0.018,-0.326,-0.052,0.008,-0.003,0.002,-0.000,0.072,0.020,-0.071,0.000,
0.020,-0.365,-0.182,-0.008,-0.004,0.002,-0.000,0.078,0.019,-0.088,0.000,
0.022,-0.367,-0.238,-0.007,-0.005,0.001,-0.000,0.086,0.020,-0.101,0.000,
0.024,-0.370,-0.330,-0.005,-0.005,0.001,-0.000,0.096,0.020,-0.113,0.000,
0.107,-0.093,-0.050,0.044,-0.006,0.000,-0.000,-0.063,0.046,-0.033,12.000,
0.109,-0.103,-0.052,0.061,-0.006,0.000,-0.000,-0.053,0.036,-0.030,0.000,
0.111,-0.086,-0.033,0.074,-0.006,0.000,-0.000,-0.047,0.026,-0.021,0.000,
0.113,-0.066,-0.016,0.064,-0.007,-0.000,0.000,-0.036,0.017,-0.026,0.000,
0.115,-0.006,0.012,0.014,-0.007,-0.000,0.000,-0.024,0.002,-0.041,0.000,
0.117,0.035,0.023,-0.007,-0.007,-0.000,0.000,-0.018,-0.010,-0.054,0.000,
0.119,0.079,0.034,-0.021,-0.007,-0.000,0.000,-0.014,-0.013,-0.058,2.000,
0.121,0.165,0.031,-0.068,-0.007,0.000,0.000,-0.007,-0.009,-0.040,1.000,
0.123,0.203,0.006,-0.102,-0.006,0.000,-0.000,-0.009,0.000,-0.010,0.000,
0.125,0.273,-0.077,-0.153,-0.006,0.000,-0.000,-0.012,0.006,0.019,0.000,
0.127,0.306,-0.123,-0.171,-0.005,-0.000,-0.001,-0.013,0.009,0.037,0.000,
0.129,0.358,-0.230,-0.218,-0.005,-0.000,-0.001,-0.017,0.014,0.047,0.000,
