time,gyrx,gyry,gyrz,rol,pit,yaw,accx,accy,accz,vCmds
0.002,0.000,0.000,0.000,0.000,0.000,0.000,-0.007,0.011,-0.029,0.000,
0.005,0.061,0.172,-0.082,0.000,0.000,0.000,-0.004,0.034,-0.057,0.000,
0.007,0.153,0.375,-0.171,0.000,0.000,-0.000,0.008,0.049,-0.063,0.000,
0.009,0.239,0.510,-0.223,0.000,0.001,-0.001,0.006,0.053,-0.068,0.000,
0.011,0.313,0.528,-0.224,0.001,0.002,-0.001,-0.010,0.052,-0.079,0.000,
0.013,0.360,0.449,-0.190,0.002,0.003,-0.001,-0.023,0.043,-0.084,0.000,
0.015,0.391,0.280,-0.135,0.002,0.004,-0.002,-0.031,0.028,-0.082,0.000,
0.017,0.409,0.102,-0.089,0.003,0.005,-0.002,-0.037,0.017,-0.089,0.000,
0.019,0.418,-0.033,-0.068,0.004,0.005,-0.002,-0.040,0.013,-0.102,0.000,
0.021,0.433,-0.126,-0.084,0.005,0.005,-0.002,-0.038,0.010,-0.103,0.000,
0.023,0.453,-0.167,-0.122,0.006,0.005,-0.003,-0.036,0.008,-0.088,0.000,
0.025,0.476,-0.156,-0.175,0.006,0.004,-0.003,-0.041,-0.000,-0.067,12.000,
0.032,0.487,-0.106,-0.217,0.007,0.004,-0.003,-0.080,-0.044,-0.010,0.000,
0.034,0.383,-0.037,-0.213,0.008,0.004,-0.004,-0.102,-0.055,0.020,0.000,
0.036,0.217,0.011,-0.167,0.009,0.004,-0.004,-0.099,-0.030,0.019,0.000,
0.038,0.074,0.029,-0.113,0.010,0.004,-0.004,-0.090,-0.018,0.024,0.000,
0.040,-0.004,0.029,-0.066,0.010,0.004,-0.005,-0.083,-0.019,0.036,2.000,
0.042,-0.014,0.026,-0.033,0.010,0.004,-0.005,-0.075,-0.024,0.051,0.000,
0.044,0.018,0.035,-0.027,0.010,0.004,-0.005,-0.060,-0.029,0.067,0.000,
0.046,0.054,0.049,-0.052,0.010,0.004,-0.005,-0.042,-0.033,0.083,0.000,
0.048,0.051,0.061,-0.117,0.010,0.004,-0.005,-0.027,-0.028,0.098,0.000,
0.050,0.005,0.066,-0.193,0.010,0.004,-0.005,-0.009,-0.015,0.107,0.000,
0.052,-0.096,0.063,-0.274,0.010,0.004,-0.006,0.011,0.001,0.103,0.000,
0.054,-0.208,0.052,-0.333,0.010,0.004,-0.006,0.023,0.016,0.096,0.000,
0.058,-0.300,0.025,-0.362,0.009,0.004,-0.007,0.008,0.033,0.078,0.000,
0.060,-0.368,-0.112,-0.365,0.009,0.004,-0.007,-0.010,0.044,0.066,0.000,
0.062,-0.398,-0.316,-0.329,0.008,0.004,-0.008,-0.015,0.052,0.067,0.000,
0.064,-0.398,-0.490,-0.276,0.007,0.004,-0.009,-0.004,0.056,0.072,0.000,
0.066,-0.375,-0.581,-0.201,0.006,0.003,-0.009,0.015,0.059,0.081,0.000,
0.068,-0.343,-0.581,-0.121,0.006,0.001,-0.010,0.027,0.066,0.077,0.000,
0.070,-0.303,-0.491,-0.031,0.005,0.000,-0.010,0.030,0.074,0.058,0.000,
0.072,-0.267,-0.364,0.041,0.004,-0.001,-0.010,0.030,0.074,0.033,0.000,
0.074,-0.218,-0.214,0.090,0.004,-0.001,-0.010,0.027,0.072,0.004,0.000,
0.076,-0.162,-0.086,0.110,0.003,-0.002,-0.010,0.017,0.070,-0.015,1.000,
0.078,-0.090,0.032,0.104,0.003,-0.002,-0.010,0.011,0.068,-0.006,0.000,
0.083,-0.027,0.121,0.085,0.003,-0.002,-0.009,0.008,0.057,0.015,0.000,
0.085,0.026,0.224,0.056,0.003,-0.002,-0.009,0.003,0.042,0.022,0.000,
0.087,0.059,0.293,0.029,0.003,-0.001,-0.009,-0.004,0.035,0.015,0.000,
0.089,0.078,0.313,0.005,0.003,-0.001,-0.009,-0.011,0.033,0.020,0.000,
0.091,0.108,0.283,-0.029,0.003,-0.000,-0.009,-0.019,0.031,0.043,0.000,
0.093,0.147,0.239,-0.075,0.003,0.001,-0.009,-0.028,0.024,0.064,0.000,
0.095,0.175,0.211,-0.118,0.004,0.001,-0.009,-0.034,0.015,0.076,0.000,
0.097,0.182,0.207,-0.156,0.004,0.001,-0.010,-0.039,0.003,0.092,0.000,
0.099,0.171,0.224,-0.209,0.004,0.002,-0.010,-0.041,-0.013,0.113,0.000,
0.101,0.157,0.252,-0.255,0.005,0.002,-0.010,-0.030,-0.016,0.121,0.000,
0.103,0.136,0.289,-0.269,0.005,0.003,-0.011,-0.007,-0.006,0.117,0.000,
0.105,0.111,0.320,-0.258,0.005,0.003,-0.011,0.019,-0.001,0.108,0.000,
0.109,0.093,0.347,-0.248,0.006,0.004,-0.012,0.067,-0.014,0.079,0.000,
0.111,0.113,0.351,-0.275,0.006,0.005,-0.012,0.082,-0.027,0.053,0.000,
0.113,0.154,0.338,-0.320,0.006,0.005,-0.013,0.068,-0.037,0.041,0.000,
0.115,0.195,0.319,-0.363,0.006,0.006,-0.013,0.059,-0.048,0.022,0.000,
0.117,0.212,0.311,-0.387,0.007,0.007,-0.014,0.062,-0.046,0.005,0.000,
0.119,0.201,0.319,-0.387,0.007,0.007,-0.015,0.073,-0.030,0.004,0.000,
0.121,0.151,0.342,-0.366,0.007,0.008,-0.016,0.083,-0.013,0.010,0.000,
0.123,0.083,0.361,-0.341,0.008,0.009,-0.017,0.087,-0.008,0.010,0.000,
0.125,0.014,0.365,-0.328,0.008,0.009,-0.017,0.088,-0.011,0.002,0.000,
0.127,-0.030,0.357,-0.331,0.008,0.010,-0.018,0.085,-0.011,-0.009,0.000,
0.129,-0.057,0.330,-0.348,0.008,0.011,-0.019,0.071,-0.006,-0.022,0.000,
0.131,-0.073,0.288,-0.363,0.008,0.011,-0.019,0.045,-0.000,-0.027,0.000,
0.136,-0.097,0.216,-0.358,0.008,0.012,-0.020,-0.025,-0.022,0.007,0.000,
0.138,-0.121,0.085,-0.300,0.007,0.013,-0.021,-0.057,-0.048,0.025,0.000,
0.140,-0.129,-0.070,-0.225,0.007,0.013,-0.021,-0.046,-0.064,0.021,0.000,
0.142,-0.118,-0.187,-0.165,0.007,0.013,-0.022,-0.042,-0.068,0.018,0.000,
0.144,-0.090,-0.262,-0.119,0.007,0.012,-0.022,-0.061,-0.066,0.028,0.000,
0.146,-0.060,-0.309,-0.088,0.007,0.012,-0.022,-0.080,-0.066,0.050,0.000,
0.148,-0.034,-0.375,-0.051,0.006,0.011,-0.022,-0.084,-0.062,0.059,0.000,
0.150,-0.014,-0.444,-0.012,0.006,0.010,-0.023,-0.069,-0.055,0.047,0.000,
0.152,0.008,-0.494,0.036,0.006,0.009,-0.023,-0.054,-0.050,0.028,0.000,
0.154,0.023,-0.503,0.084,0.006,0.008,-0.022,-0.048,-0.044,0.014,0.000,
0.156,0.010,-0.451,0.144,0.006,0.007,-0.022,-0.053,-0.031,0.011,0.000,
0.160,-0.028,-0.363,0.204,0.006,0.006,-0.022,-0.059,0.001,0.017,0.000,
0.162,-0.081,-0.194,0.257,0.006,0.006,-0.022,-0.046,0.025,0.021,0.000,
0.164,-0.121,-0.018,0.282,0.006,0.005,-0.021,-0.022,0.031,0.019,0.000,
0.166,-0.130,0.149,0.259,0.006,0.005,-0.021,0.001,0.030,0.007,0.000,
0.168,-0.116,0.275,0.199,0.006,0.006,-0.020,0.023,0.030,-0.008,0.000,
0.170,-0.076,0.392,0.109,0.005,0.006,-0.020,0.034,0.033,-0.009,0.000,
0.172,-0.026,0.487,0.026,0.005,0.007,-0.019,0.045,0.030,-0.001,0.000,
0.174,0.035,0.560,-0.043,0.005,0.008,-0.019,0.051,0.026,0.006,0.000,
