time,gyrx,gyry,gyrz,rol,pit,yaw,accx,accy,accz,vCmds
0.002,0.061,-0.074,0.037,0.000,0.000,0.000,0.032,0.023,0.061,0.000,
0.005,0.031,-0.112,0.082,0.000,-0.000,0.000,0.031,0.018,0.072,0.000,
0.007,0.008,-0.167,0.069,0.000,-0.000,0.000,0.027,0.016,0.076,0.000,
0.009,-0.060,-0.256,0.036,0.000,-0.001,0.000,0.017,0.011,0.083,0.000,
0.011,-0.113,-0.281,0.023,0.000,-0.001,0.000,0.004,0.004,0.080,0.000,
0.013,-0.202,-0.298,-0.050,-0.000,-0.002,0.000,-0.011,-0.002,0.075,0.000,
0.015,-0.216,-0.298,-0.091,-0.001,-0.002,0.000,-0.022,-0.002,0.071,0.000,
0.017,-0.186,-0.300,-0.128,-0.001,-0.003,0.000,-0.030,0.008,0.060,0.000,
0.019,-0.152,-0.290,-0.124,-0.001,-0.004,-0.000,-0.039,0.013,0.053,0.000,
0.021,-0.095,-0.231,-0.097,-0.002,-0.004,-0.000,-0.055,0.009,0.059,0.000,
0.023,-0.081,-0.179,-0.083,-0.002,-0.005,-0.000,-0.075,0.001,0.074,0.000,
0.025,-0.075,-0.115,-0.075,-0.002,-0.005,-0.001,-0.091,-0.011,0.081,12.000,
0.027,-0.071,0.011,-0.062,-0.002,-0.005,-0.001,-0.095,-0.024,0.073,0.000,
0.029,-0.058,0.052,-0.059,-0.002,-0.005,-0.001,-0.085,-0.029,0.063,0.000,
0.031,-0.010,0.096,-0.033,-0.002,-0.005,-0.001,-0.068,-0.035,0.049,2.000,
0.033,0.019,0.103,-0.009,-0.002,-0.005,-0.001,-0.058,-0.038,0.031,0.000,
0.035,0.065,0.048,0.016,-0.002,-0.005,-0.001,-0.050,-0.047,0.007,0.000,
0.037,0.081,0.021,0.021,-0.002,-0.005,-0.001,-0.044,-0.052,-0.011,0.000,
0.039,0.092,0.011,0.027,-0.002,-0.005,-0.001,-0.044,-0.055,-0.020,1.000,
0.041,0.117,0.037,0.022,-0.002,-0.005,-0.001,-0.047,-0.047,-0.019,0.000,
0.043,0.132,0.084,-0.015,-0.002,-0.004,-0.001,-0.051,-0.036,-0.024,0.000,
0.045,0.130,0.093,-0.035,-0.001,-0.004,-0.001,-0.050,-0.025,-0.041,0.000,
0.047,0.127,0.096,-0.060,-0.001,-0.004,-0.001,-0.046,-0.016,-0.059,0.000,
0.049,0.131,0.088,-0.144,-0.001,-0.004,-0.001,-0.040,-0.011,-0.077,0.000,
0.051,0.139,0.070,-0.190,-0.001,-0.004,-0.001,-0.037,-0.002,-0.090,0.000,
0.053,0.185,0.012,-0.273,-0.000,-0.004,-0.002,-0.033,0.011,-0.095,0.000,
0.055,0.216,-0.039,-0.309,-0.000,-0.004,-0.002,-0.025,0.022,-0.090,0.000,
0.057,0.273,-0.136,-0.345,0.000,-0.004,-0.003,-0.008,0.036,-0.077,0.000,
0.059,0.300,-0.164,-0.352,0.001,-0.004,-0.004,0.019,0.042,-0.065,0.000,
0.061,0.348,-0.176,-0.378,0.002,-0.004,-0.004,0.046,0.035,-0.052,0.000,
