time,gyrx,gyry,gyrz,rol,pit,yaw,accx,accy,accz,vCmds
0.125,-0.028,-0.029,-0.062,-0.004,-0.004,-0.002,-0.005,-0.003,-0.001,0.000,
0.127,-0.018,-0.052,-0.082,-0.004,-0.004,-0.002,-0.010,-0.002,0.005,0.000,
0.129,-0.010,-0.087,-0.098,-0.004,-0.005,-0.002,-0.014,-0.000,0.010,0.000,
0.131,-0.003,-0.126,-0.107,-0.004,-0.005,-0.002,-0.016,0.000,0.012,0.000,
0.133,0.002,-0.163,-0.106,-0.004,-0.005,-0.002,-0.015,0.000,0.010,0.000,
0.135,0.006,-0.188,-0.095,-0.004,-0.005,-0.003,-0.011,0.000,0.004,0.000,
0.137,0.010,-0.201,-0.078,-0.004,-0.006,-0.003,-0.005,0.001,-0.004,0.000,
0.139,0.015,-0.197,-0.061,-0.004,-0.006,-0.003,0.003,0.001,-0.011,0.000,
0.141,0.020,-0.175,-0.052,-0.004,-0.006,-0.003,0.009,0.001,-0.017,0.000,
0.143,0.026,-0.140,-0.053,-0.004,-0.007,-0.003,0.013,0.000,-0.019,0.000,
0.145,0.032,-0.098,-0.063,-0.004,-0.007,-0.003,0.014,-0.001,-0.019,0.000,
0.147,0.037,-0.058,-0.076,-0.004,-0.007,-0.003,0.011,-0.002,-0.015,0.000,
0.149,0.039,-0.023,-0.086,-0.004,-0.007,-0.004,0.006,-0.003,-0.010,0.000,
0.151,0.039,-0.000,-0.091,-0.004,-0.007,-0.004,0.001,-0.004,-0.004,0.000,
0.153,0.037,0.009,-0.090,-0.004,-0.007,-0.004,-0.006,-0.004,0.002,0.000,
0.155,0.035,0.008,-0.083,-0.003,-0.007,-0.004,-0.010,-0.005,0.005,0.000,
0.157,0.033,-0.002,-0.068,-0.003,-0.007,-0.004,-0.012,-0.005,0.005,0.000,
0.159,0.030,-0.016,-0.049,-0.003,-0.007,-0.004,-0.011,-0.006,0.002,0.000,
0.161,0.026,-0.030,-0.026,-0.003,-0.007,-0.005,-0.007,-0.006,-0.003,0.000,
0.163,0.023,-0.038,-0.002,-0.003,-0.008,-0.005,-0.002,-0.007,-0.008,0.000,
0.165,0.017,-0.040,0.015,-0.003,-0.008,-0.005,0.003,-0.007,-0.012,0.000,
0.167,0.007,-0.034,0.025,-0.003,-0.008,-0.005,0.005,-0.007,-0.014,0.000,
0.169,-0.007,-0.025,0.029,-0.003,-0.008,-0.005,0.005,-0.007,-0.015,0.000,
0.171,-0.018,-0.015,0.034,-0.003,-0.008,-0.004,0.003,-0.007,-0.015,0.000,
0.173,-0.024,-0.010,0.046,-0.003,-0.008,-0.004,0.000,-0.007,-0.013,0.000,
0.175,-0.025,-0.012,0.065,-0.003,-0.008,-0.004,-0.002,-0.007,-0.010,0.000,
0.177,-0.024,-0.016,0.081,-0.003,-0.008,-0.004,-0.003,-0.006,-0.007,0.000,
0.179,-0.024,-0.018,0.088,-0.003,-0.008,-0.004,-0.004,-0.003,-0.005,0.000,
0.181,-0.024,-0.020,0.083,-0.003,-0.008,-0.004,-0.004,-0.000,-0.004,0.000,
0.183,-0.028,-0.022,0.071,-0.003,-0.008,-0.004,-0.005,0.003,-0.003,0.000,
0.185,-0.038,-0.023,0.056,-0.003,-0.008,-0.004,-0.005,0.004,-0.001,0.000,
0.187,-0.051,-0.022,0.039,-0.004,-0.008,-0.003,-0.005,0.005,-0.000,0.000,
0.189,-0.066,-0.020,0.018,-0.004,-0.008,-0.003,-0.005,0.004,-0.000,0.000,
0.191,-0.079,-0.015,-0.008,-0.004,-0.008,-0.003,-0.005,0.004,-0.002,0.000,
0.193,-0.089,-0.011,-0.038,-0.004,-0.008,-0.003,-0.005,0.004,-0.005,0.000,
0.195,-0.094,-0.006,-0.062,-0.004,-0.008,-0.003,-0.004,0.004,-0.008,0.000,
